"","Institution","Year","Month","use_of_force","inmate_count","uof_per_1000"
"488","SVSP",2014,"Jan",27,3388,7.96930342384888
"489","CCI",2014,"Feb",15,4361,3.43957807842238
"490","COR",2014,"Feb",21,4371,4.80439258750858
"491","HDSP",2014,"Feb",24,3436,6.9848661233993
"492","KVSP",2014,"Feb",26,3749,6.93518271539077
"493","LAC",2014,"Feb",32,3669,8.72172254020169
"494","PBSP",2014,"Feb",9,2717,3.31247699668752
"495","SAC",2014,"Feb",35,2210,15.8371040723982
"496","SVSP",2014,"Feb",31,3312,9.35990338164251
"497","CCI",2014,"Mar",21,4359,4.81761871988988
"498","COR",2014,"Mar",32,4305,7.43321718931475
"499","HDSP",2014,"Mar",28,3390,8.25958702064897
"500","KVSP",2014,"Mar",39,3775,10.3311258278146
"501","LAC",2014,"Mar",30,3599,8.33564879133093
"502","PBSP",2014,"Mar",3,2754,1.08932461873638
"503","SAC",2014,"Mar",34,2189,15.5322064869804
"504","SVSP",2014,"Mar",43,3354,12.8205128205128
"505","CCI",2014,"Apr",10,4403,2.27117874176698
"506","COR",2014,"Apr",25,4339,5.76169624337405
"507","HDSP",2014,"Apr",10,3318,3.01386377335744
"508","KVSP",2014,"Apr",27,3792,7.12025316455696
"509","LAC",2014,"Apr",38,3572,10.6382978723404
"510","PBSP",2014,"Apr",10,2768,3.61271676300578
"511","SAC",2014,"Apr",26,2253,11.5401686640036
"512","SVSP",2014,"Apr",37,3358,11.0184633710542
"513","CCI",2014,"May",17,4420,3.84615384615385
"514","COR",2014,"May",25,4352,5.74448529411765
"515","HDSP",2014,"May",28,3313,8.45155448234229
"516","KVSP",2014,"May",32,3855,8.30090791180285
"517","LAC",2014,"May",41,3562,11.5103874227962
"518","PBSP",2014,"May",11,2789,3.94406597346719
"519","SAC",2014,"May",44,2247,19.5816644414775
"520","SVSP",2014,"May",44,3352,13.126491646778
"521","CCI",2014,"Jun",13,4395,2.95790671217292
"522","COR",2014,"Jun",24,4287,5.59832050384884
"523","HDSP",2014,"Jun",28,3307,8.4668884185062
"524","KVSP",2014,"Jun",19,3847,4.93891343904341
"525","LAC",2014,"Jun",39,3560,10.9550561797753
"526","PBSP",2014,"Jun",13,2821,4.60829493087558
"527","SAC",2014,"Jun",32,2262,14.1467727674624
"528","SVSP",2014,"Jun",42,3357,12.5111706881144
"529","CCI",2014,"Jul",15,4408,3.40290381125227
"530","COR",2014,"Jul",20,4335,4.61361014994233
"531","HDSP",2014,"Jul",20,3343,5.98265031408914
"532","KVSP",2014,"Jul",24,3835,6.25814863102999
"533","LAC",2014,"Jul",37,3607,10.2578319933463
"534","PBSP",2014,"Jul",8,2821,2.83587380361574
"535","SAC",2014,"Jul",61,2231,27.341999103541
"536","SVSP",2014,"Jul",24,3367,7.12800712800713
"537","CCI",2014,"Aug",18,4482,4.01606425702811
"538","COR",2014,"Aug",29,4314,6.72229949003245
"539","HDSP",2014,"Aug",22,3437,6.40093104451557
"540","KVSP",2014,"Aug",31,3811,8.13434794017318
"541","LAC",2014,"Aug",44,3593,12.2460339549123
"542","PBSP",2014,"Aug",9,2857,3.15015750787539
"543","SAC",2014,"Aug",52,2216,23.4657039711191
"544","SVSP",2014,"Aug",41,3457,11.859994214637
"545","CCI",2014,"Sep",17,4482,3.79294957608211
"546","COR",2014,"Sep",32,4375,7.31428571428571
"547","HDSP",2014,"Sep",22,3474,6.33275762809442
"548","KVSP",2014,"Sep",28,3835,7.30117340286832
"549","LAC",2014,"Sep",19,3582,5.30429927414852
"550","PBSP",2014,"Sep",5,2830,1.76678445229682
"551","SAC",2014,"Sep",53,2211,23.9710538218001
"552","SVSP",2014,"Sep",41,3500,11.7142857142857
"553","CCI",2014,"Oct",7,4398,1.59163256025466
"554","COR",2014,"Oct",30,4381,6.84775165487332
"555","HDSP",2014,"Oct",20,3542,5.64652738565782
"556","KVSP",2014,"Oct",27,3835,7.04041720990874
"557","LAC",2014,"Oct",45,3548,12.6832018038331
"558","PBSP",2014,"Oct",6,2785,2.15439856373429
"559","SAC",2014,"Oct",43,2165,19.8614318706697
"560","SVSP",2014,"Oct",49,3485,14.0602582496413
"561","CCI",2014,"Nov",8,4404,1.81653042688465
"562","COR",2014,"Nov",22,4369,5.03547722590982
"563","HDSP",2014,"Nov",18,3528,5.10204081632653
"564","KVSP",2014,"Nov",17,3832,4.43632567849687
"565","LAC",2014,"Nov",41,3544,11.568848758465
"566","PBSP",2014,"Nov",5,2785,1.79533213644524
"567","SAC",2014,"Nov",41,2175,18.8505747126437
"568","SVSP",2014,"Nov",49,3489,14.0441387216968
"569","CCI",2014,"Dec",8,4329,1.84800184800185
"570","COR",2014,"Dec",29,4219,6.87366674567433
"571","HDSP",2014,"Dec",23,3578,6.42817216321968
"572","KVSP",2014,"Dec",18,3795,4.74308300395257
"573","LAC",2014,"Dec",33,3513,9.39368061485909
"574","PBSP",2014,"Dec",5,2696,1.85459940652819
"575","SAC",2014,"Dec",44,2196,20.0364298724954
"576","SVSP",2014,"Dec",34,3566,9.53449242849131
"577","CCI",2015,"Jan",8,4329,1.84800184800185
"578","COR",2015,"Jan",18,4219,4.26641384214269
"579","HDSP",2015,"Jan",20,3578,5.58971492453885
"580","KVSP",2015,"Jan",26,3795,6.85111989459816
"581","LAC",2015,"Jan",32,3513,9.10902362653003
"582","PBSP",2015,"Jan",4,2696,1.48367952522255
"583","SAC",2015,"Jan",40,2196,18.2149362477231
"584","SVSP",2015,"Jan",40,3566,11.2170499158721
"585","CCI",2015,"Feb",12,4191,2.86327845382963
"586","COR",2015,"Feb",16,4084,3.9177277179236
"587","HDSP",2015,"Feb",12,3497,3.43151272519302
"588","KVSP",2015,"Feb",32,3779,8.46784863720561
"589","LAC",2015,"Feb",42,3514,11.9521912350598
"590","PBSP",2015,"Feb",7,2631,2.66058532877233
"591","SAC",2015,"Feb",32,2180,14.6788990825688
"592","SVSP",2015,"Feb",24,3592,6.6815144766147
"593","CCI",2015,"Mar",13,4112,3.16147859922179
"594","COR",2015,"Mar",25,4089,6.11396429444852
"595","HDSP",2015,"Mar",28,3392,8.25471698113208
"596","KVSP",2015,"Mar",21,3738,5.61797752808989
"597","LAC",2015,"Mar",37,3502,10.5653912050257
"598","PBSP",2015,"Mar",6,2624,2.28658536585366
"599","SAC",2015,"Mar",57,2238,25.4691689008043
"600","SVSP",2015,"Mar",39,3590,10.8635097493036
"601","CCI",2015,"Apr",5,4112,1.215953307393
"602","COR",2015,"Apr",29,4089,7.09219858156028
"603","HDSP",2015,"Apr",15,3392,4.42216981132075
"604","KVSP",2015,"Apr",27,3738,7.223113964687
"605","LAC",2015,"Apr",31,3502,8.85208452312964
"606","PBSP",2015,"Apr",8,2624,3.04878048780488
"607","SAC",2015,"Apr",38,2238,16.9794459338695
"608","SVSP",2015,"Apr",41,3590,11.4206128133705
"609","CCI",2015,"May",11,3851,2.85640093482212
"610","COR",2015,"May",40,4322,9.25497454881999
"611","HDSP",2015,"May",24,3314,7.24200362100181
"612","KVSP",2015,"May",25,3750,6.66666666666667
"613","LAC",2015,"May",33,3507,9.40975192472198
"614","PBSP",2015,"May",11,2680,4.1044776119403
"615","SAC",2015,"May",58,2242,25.8697591436218
"616","SVSP",2015,"May",36,3677,9.79059015501768
"617","CCI",2015,"Jun",14,3931,3.56143474942763
"618","COR",2015,"Jun",20,4405,4.54029511918275
"619","HDSP",2015,"Jun",23,3300,6.96969696969697
"620","KVSP",2015,"Jun",23,3638,6.32215503023639
"621","LAC",2015,"Jun",35,3494,10.0171722953635
"622","PBSP",2015,"Jun",17,2742,6.1998541210795
"623","SAC",2015,"Jun",41,2319,17.6800344976283
"624","SVSP",2015,"Jun",29,3678,7.8847199564981
"625","CCI",2015,"Jul",17,3928,4.32790224032587
"626","COR",2015,"Jul",38,4427,8.58369098712446
"627","HDSP",2015,"Jul",21,3398,6.18010594467334
"628","KVSP",2015,"Jul",34,3628,9.3715545755237
"629","LAC",2015,"Jul",45,3503,12.846131886954
"630","PBSP",2015,"Jul",13,2720,4.77941176470588
"631","SAC",2015,"Jul",54,2310,23.3766233766234
"632","SVSP",2015,"Jul",37,3707,9.98111680604262
"633","CCI",2015,"Aug",12,3905,3.0729833546735
"634","COR",2015,"Aug",14,4371,3.20292839167239
"635","HDSP",2015,"Aug",28,3288,8.51581508515815
"636","KVSP",2015,"Aug",33,3676,8.97714907508161
"637","LAC",2015,"Aug",44,3497,12.5822133257077
"638","PBSP",2015,"Aug",5,2736,1.82748538011696
"639","SAC",2015,"Aug",46,2271,20.2553940995156
"640","SVSP",2015,"Aug",41,3693,11.1020850257243
"641","CCI",2015,"Sep",13,3814,3.40849501835343
"642","COR",2015,"Sep",27,4371,6.1770761839396
"643","HDSP",2015,"Sep",22,3338,6.59077291791492
"644","KVSP",2015,"Sep",31,3714,8.34679590737749
"645","LAC",2015,"Sep",37,3516,10.5233219567691
"646","PBSP",2015,"Sep",5,2736,1.82748538011696
"647","SAC",2015,"Sep",48,2226,21.5633423180593
"648","SVSP",2015,"Sep",34,3693,9.20660709450311
"649","CCI",2015,"Oct",19,3783,5.02246893999471
"650","COR",2015,"Oct",39,4408,8.8475499092559
"651","HDSP",2015,"Oct",17,3437,4.94617398894385
"652","KVSP",2015,"Oct",33,3792,8.70253164556962
"653","LAC",2015,"Oct",34,3570,9.52380952380953
"654","PBSP",2015,"Oct",7,2597,2.69541778975741
"655","SAC",2015,"Oct",62,2184,28.3882783882784
"656","SVSP",2015,"Oct",41,3770,10.8753315649867
"657","CCI",2015,"Nov",7,3755,1.8641810918775
"658","COR",2015,"Nov",34,4313,7.88314398330628
"659","HDSP",2015,"Nov",23,3489,6.59214674691889
"660","KVSP",2015,"Nov",24,3949,6.07748797163839
"661","LAC",2015,"Nov",43,3575,12.027972027972
"662","PBSP",2015,"Nov",8,2514,3.18217979315831
"663","SAC",2015,"Nov",33,2243,14.7124386981721
"664","SVSP",2015,"Nov",40,3735,10.7095046854083
"665","CCI",2015,"Dec",9,3671,2.45164805230183
"666","COR",2015,"Dec",23,4264,5.39399624765478
"667","HDSP",2015,"Dec",22,3567,6.16764788337538
"668","KVSP",2015,"Dec",23,3909,5.88385776413405
"669","LAC",2015,"Dec",45,3545,12.6939351198872
"670","PBSP",2015,"Dec",9,2458,3.66151342554923
"671","SAC",2015,"Dec",48,2232,21.505376344086
"672","SVSP",2015,"Dec",37,3660,10.1092896174863
"673","CCI",2016,"Jan",17,3575,4.75524475524475
"674","COR",2016,"Jan",15,4132,3.63020329138432
"675","HDSP",2016,"Jan",22,3557,6.18498734888951
"676","KVSP",2016,"Jan",29,3944,7.35294117647059
"677","LAC",2016,"Jan",26,3563,7.29722144260455
"678","PBSP",2016,"Jan",3,2288,1.31118881118881
"679","SAC",2016,"Jan",52,2284,22.7670753064799
"680","SVSP",2016,"Jan",39,3671,10.6238082266412
"681","CCI",2016,"Feb",9,3450,2.60869565217391
"682","COR",2016,"Feb",30,4129,7.26568176313878
"683","HDSP",2016,"Feb",22,3600,6.11111111111111
"684","KVSP",2016,"Feb",25,3931,6.35970490969219
"685","LAC",2016,"Feb",28,3521,7.95228628230616
"686","PBSP",2016,"Feb",21,2266,9.26743159752868
"687","SAC",2016,"Feb",48,2316,20.7253886010363
"688","SVSP",2016,"Feb",48,3650,13.1506849315069
"689","CCI",2016,"Mar",14,3277,4.27220018309429
"690","COR",2016,"Mar",33,4093,8.06254580991937
"691","HDSP",2016,"Mar",23,3663,6.27900627900628
"692","KVSP",2016,"Mar",36,3944,9.12778904665314
"693","LAC",2016,"Mar",30,3531,8.49617672047579
"694","PBSP",2016,"Mar",7,2232,3.13620071684588
"695","SAC",2016,"Mar",51,2376,21.4646464646465
"696","SVSP",2016,"Mar",42,3686,11.3944655453066
"697","CCI",2016,"Apr",20,3216,6.21890547263682
"698","COR",2016,"Apr",35,3880,9.02061855670103
"699","HDSP",2016,"Apr",29,3667,7.90837196618489
"700","KVSP",2016,"Apr",31,4023,7.70569226945066
"701","LAC",2016,"Apr",41,3554,11.5362971299944
"702","PBSP",2016,"Apr",13,2164,6.00739371534196
"703","SAC",2016,"Apr",41,2410,17.0124481327801
"704","SVSP",2016,"Apr",38,3604,10.5438401775805
"705","CCI",2016,"May",24,3127,7.67508794371602
"706","COR",2016,"May",33,3778,8.73478030704076
"707","HDSP",2016,"May",24,3685,6.51289009497965
"708","KVSP",2016,"May",34,4032,8.43253968253968
"709","LAC",2016,"May",29,3532,8.21064552661382
"710","PBSP",2016,"May",7,2172,3.22283609576427
"711","SAC",2016,"May",46,2410,19.0871369294606
"712","SVSP",2016,"May",43,3741,11.4942528735632
"713","CCI",2016,"Jun",15,3150,4.76190476190476
"714","COR",2016,"Jun",32,3633,8.80814753647124
"715","HDSP",2016,"Jun",14,3706,3.77765785213168
"716","KVSP",2016,"Jun",42,3950,10.6329113924051
"717","LAC",2016,"Jun",36,3536,10.1809954751131
"718","PBSP",2016,"Jun",20,2300,8.69565217391304
"719","SAC",2016,"Jun",65,2389,27.208036835496
"720","SVSP",2016,"Jun",42,3746,11.2119594233849
"721","CCI",2016,"Jul",28,3326,8.41852074564041
"722","COR",2016,"Jul",26,3414,7.61570005858231
"723","HDSP",2016,"Jul",22,3753,5.86197708499867
"724","KVSP",2016,"Jul",42,3926,10.697911360163
"725","LAC",2016,"Jul",39,3539,11.0200621644532
"726","PBSP",2016,"Jul",11,2348,4.68483816013629
"727","SAC",2016,"Jul",42,2365,17.7589852008457
"728","SVSP",2016,"Jul",49,3792,12.92194092827
"729","CCI",2016,"Aug",21,3458,6.07287449392713
"730","COR",2016,"Aug",41,3268,12.5458996328029
"731","HDSP",2016,"Aug",20,3845,5.20156046814044
"732","KVSP",2016,"Aug",42,3880,10.8247422680412
"733","LAC",2016,"Aug",27,3501,7.7120822622108
"734","PBSP",2016,"Aug",9,2342,3.84286934244236
"735","SAC",2016,"Aug",46,2340,19.6581196581197
"736","SVSP",2016,"Aug",45,3782,11.8984664198837
"737","CCI",2016,"Sep",20,3585,5.57880055788006
"738","COR",2016,"Sep",26,3251,7.99753921870194
"739","HDSP",2016,"Sep",18,3767,4.77833820015928
"740","KVSP",2016,"Sep",41,3932,10.4272634791455
"741","LAC",2016,"Sep",27,3443,7.84199825733372
"742","PBSP",2016,"Sep",9,2258,3.98582816651904
"743","SAC",2016,"Sep",42,2316,18.1347150259067
"744","SVSP",2016,"Sep",53,3771,14.0546274197826
"745","CCI",2016,"Oct",22,3651,6.0257463708573
"746","COR",2016,"Oct",36,3340,10.7784431137725
"747","HDSP",2016,"Oct",16,3727,4.29299704856453
"748","KVSP",2016,"Oct",40,3854,10.3788271925272
"749","LAC",2016,"Oct",34,3291,10.3312063202674
"750","PBSP",2016,"Oct",12,2248,5.33807829181495
"751","SAC",2016,"Oct",33,2315,14.2548596112311
"752","SVSP",2016,"Oct",48,3776,12.7118644067797
"753","CCI",2016,"Nov",20,3683,5.43035568829758
"754","COR",2016,"Nov",24,3348,7.16845878136201
"755","HDSP",2016,"Nov",14,3735,3.7483266398929
"756","KVSP",2016,"Nov",52,3797,13.6950223860943
"757","LAC",2016,"Nov",37,3350,11.044776119403
"758","PBSP",2016,"Nov",11,2197,5.00682749203459
"759","SAC",2016,"Nov",35,2284,15.3239929947461
"760","SVSP",2016,"Nov",45,3667,12.2716116716662
"761","CCI",2016,"Dec",26,3722,6.98549167114455
"762","COR",2016,"Dec",32,3416,9.36768149882904
"763","HDSP",2016,"Dec",16,3719,4.3022317827373
"764","KVSP",2016,"Dec",28,3710,7.54716981132075
"765","LAC",2016,"Dec",28,3392,8.25471698113208
"766","PBSP",2016,"Dec",8,2153,3.71574547143521
"767","SAC",2016,"Dec",56,2258,24.800708591674
"768","SVSP",2016,"Dec",18,3731,4.82444384883409
"769","CCI",2017,"Jan",24,3729,6.43604183427192
"770","COR",2017,"Jan",51,3502,14.5631067961165
"771","HDSP",2017,"Jan",12,3700,3.24324324324324
"772","KVSP",2017,"Jan",28,3757,7.45275485759915
"773","LAC",2017,"Jan",39,3447,11.3141862489121
"774","PBSP",2017,"Jan",10,2116,4.72589792060491
"775","SAC",2017,"Jan",49,2250,21.7777777777778
"776","SVSP",2017,"Jan",51,3438,14.8342059336824
"777","CCI",2017,"Feb",26,3834,6.78142931664058
"778","COR",2017,"Feb",35,3480,10.0574712643678
"779","HDSP",2017,"Feb",22,3701,5.94433936773845
"780","KVSP",2017,"Feb",36,3753,9.59232613908873
"781","LAC",2017,"Feb",44,3428,12.8354725787631
"782","PBSP",2017,"Feb",8,2110,3.7914691943128
"783","SAC",2017,"Feb",34,2212,15.370705244123
"784","SVSP",2017,"Feb",33,3411,9.67458223394899
"785","CCI",2017,"Mar",35,3895,8.98587933247754
"786","COR",2017,"Mar",42,3359,12.5037213456386
"787","HDSP",2017,"Mar",13,3655,3.55677154582763
"788","KVSP",2017,"Mar",37,3700,10
"789","LAC",2017,"Mar",48,3459,13.8768430182134
"790","PBSP",2017,"Mar",9,2071,4.34572670207629
"791","SAC",2017,"Mar",31,2302,13.4665508253692
"792","SVSP",2017,"Mar",34,3515,9.6728307254623
"793","CCI",2017,"Apr",35,3893,8.99049576162343
"794","COR",2017,"Apr",32,3296,9.70873786407767
"795","HDSP",2017,"Apr",13,3700,3.51351351351351
"796","KVSP",2017,"Apr",24,3695,6.49526387009472
"797","LAC",2017,"Apr",54,3331,16.2113479435605
"798","PBSP",2017,"Apr",9,2036,4.42043222003929
"799","SAC",2017,"Apr",38,2319,16.3863734368262
"800","SVSP",2017,"Apr",36,3650,9.86301369863014
"801","CCI",2017,"May",30,3797,7.90097445351593
"802","COR",2017,"May",40,3067,13.042060645582
"803","HDSP",2017,"May",18,3797,4.74058467210956
"804","KVSP",2017,"May",41,3735,10.9772423025435
"805","LAC",2017,"May",48,3349,14.3326366079427
"806","PBSP",2017,"May",11,2029,5.42138984721538
"807","SAC",2017,"May",53,2338,22.6689478186484
"808","SVSP",2017,"May",33,3651,9.03861955628595
"809","CCI",2017,"Jun",38,3828,9.92685475444096
"810","COR",2017,"Jun",39,3111,12.5361620057859
"811","HDSP",2017,"Jun",29,3737,7.76023548300776
"812","KVSP",2017,"Jun",47,3688,12.7440347071584
"813","LAC",2017,"Jun",30,3411,8.79507475813545
"814","PBSP",2017,"Jun",5,2052,2.43664717348928
"815","SAC",2017,"Jun",42,2324,18.0722891566265
"816","SVSP",2017,"Jun",42,3621,11.5990057995029
"817","CCI",2017,"Jul",32,3814,8.39014158363922
"818","COR",2017,"Jul",41,3240,12.6543209876543
"819","HDSP",2017,"Jul",18,3594,5.00834724540901
"820","KVSP",2017,"Jul",49,3653,13.4136326307145
"821","LAC",2017,"Jul",48,3401,14.1134960305792
"822","PBSP",2017,"Jul",3,2071,1.44857556735876
"823","SAC",2017,"Jul",54,2322,23.2558139534884
"824","SVSP",2017,"Jul",35,3565,9.81767180925666
"825","CCI",2017,"Aug",35,3857,9.07441016333938
"826","COR",2017,"Aug",49,3272,14.9755501222494
"827","HDSP",2017,"Aug",22,3566,6.16937745372967
"828","KVSP",2017,"Aug",43,3665,11.7326057298772
"829","LAC",2017,"Aug",36,3454,10.4226983207875
"830","PBSP",2017,"Aug",6,2201,2.72603362108133
"831","SAC",2017,"Aug",53,2220,23.8738738738739
"832","SVSP",2017,"Aug",37,3584,10.3236607142857
"833","CCI",2017,"Sep",27,3868,6.98035160289555
"834","COR",2017,"Sep",35,3196,10.9511889862328
"835","HDSP",2017,"Sep",20,3594,5.56483027267668
"836","KVSP",2017,"Sep",54,3706,14.5709660010793
"837","LAC",2017,"Sep",42,3489,12.0378331900258
"838","PBSP",2017,"Sep",10,2309,4.3308791684712
"839","SAC",2017,"Sep",39,2189,17.8163544997716
"840","SVSP",2017,"Sep",35,3592,9.74387527839644
"841","CCI",2017,"Oct",26,3806,6.83131897004729
"842","COR",2017,"Oct",42,3143,13.3630289532294
"843","HDSP",2017,"Oct",31,3498,8.86220697541452
"844","KVSP",2017,"Oct",27,3719,7.26001613336918
"845","LAC",2017,"Oct",44,3461,12.7130887026871
"846","PBSP",2017,"Oct",19,2447,7.76460972619534
"847","SAC",2017,"Oct",33,2172,15.1933701657459
"848","SVSP",2017,"Oct",36,3542,10.1637492941841
"849","CCI",2017,"Nov",24,3843,6.24512099921936
"850","COR",2017,"Nov",29,3062,9.47093403004572
"851","HDSP",2017,"Nov",32,3457,9.25658085044837
"852","KVSP",2017,"Nov",36,3744,9.61538461538462
"853","LAC",2017,"Nov",39,3413,11.4268971579256
"854","PBSP",2017,"Nov",8,2523,3.17082837891399
"855","SAC",2017,"Nov",50,2115,23.6406619385343
"856","SVSP",2017,"Nov",44,3601,12.2188281033046
"857","CCI",2017,"Dec",35,3843,9.10746812386157
"858","COR",2017,"Dec",41,3066,13.3724722765819
"859","HDSP",2017,"Dec",26,3454,7.52750434279097
"860","KVSP",2017,"Dec",47,3745,12.5500667556742
"861","LAC",2017,"Dec",35,3422,10.2279368790181
"862","PBSP",2017,"Dec",10,2510,3.98406374501992
"863","SAC",2017,"Dec",30,2087,14.3747005270724
"864","SVSP",2017,"Dec",32,3599,8.89135871075299
"865","CCI",2018,"Jan",33,3404,9.69447708578143
"866","COR",2018,"Jan",47,3094,15.1906916612799
"867","HDSP",2018,"Jan",24,3424,7.00934579439252
"868","KVSP",2018,"Jan",49,3618,13.5433941404091
"869","LAC",2018,"Jan",44,3376,13.0331753554502
"870","PBSP",2018,"Jan",11,2622,4.1952707856598
"871","SAC",2018,"Jan",36,2147,16.7675826734979
"872","SVSP",2018,"Jan",33,3578,9.2230296254891
"873","CCI",2018,"Feb",33,3370,9.79228486646884
"874","COR",2018,"Feb",46,3133,14.682413022662
"875","HDSP",2018,"Feb",22,3482,6.31820792647903
"876","KVSP",2018,"Feb",41,3463,11.8394455674271
"877","LAC",2018,"Feb",45,3306,13.6116152450091
"878","PBSP",2018,"Feb",14,2664,5.25525525525526
"879","SAC",2018,"Feb",40,2188,18.2815356489945
"880","SVSP",2018,"Feb",47,3527,13.3257726112844
"881","CCI",2018,"Mar",28,3308,8.46432889963724
"882","COR",2018,"Mar",54,3172,17.0239596469105
"883","HDSP",2018,"Mar",23,3486,6.5978198508319
"884","KVSP",2018,"Mar",51,3433,14.8558112438101
"885","LAC",2018,"Mar",41,3264,12.5612745098039
"886","PBSP",2018,"Mar",12,2691,4.45930880713489
"887","SAC",2018,"Mar",47,2196,21.4025500910747
"888","SVSP",2018,"Mar",59,3480,16.9540229885057
"889","CCI",2018,"Apr",13,3248,4.00246305418719
"890","COR",2018,"Apr",44,3200,13.75
"891","HDSP",2018,"Apr",23,3473,6.62251655629139
"892","KVSP",2018,"Apr",40,3409,11.7336462305661
"893","LAC",2018,"Apr",41,3233,12.6817197649242
"894","PBSP",2018,"Apr",12,2685,4.46927374301676
"895","SAC",2018,"Apr",52,2172,23.9410681399632
"896","SVSP",2018,"Apr",54,3386,15.9480212640284
"897","CCI",2018,"May",31,3264,9.49754901960784
"898","COR",2018,"May",50,3181,15.7183275699466
"899","HDSP",2018,"May",29,3439,8.43268391974411
"900","KVSP",2018,"May",49,3467,14.1332564176521
"901","LAC",2018,"May",56,3229,17.3428305977083
"902","PBSP",2018,"May",13,2671,4.86709097716211
"903","SAC",2018,"May",61,2207,27.6393294064341
"904","SVSP",2018,"May",44,3302,13.3252574197456
"905","CCI",2018,"Jun",28,3344,8.37320574162679
"906","COR",2018,"Jun",46,3228,14.2503097893432
"907","HDSP",2018,"Jun",28,3427,8.17041143857601
"908","KVSP",2018,"Jun",79,3546,22.2786238014664
"909","LAC",2018,"Jun",41,3148,13.0241423125794
"910","PBSP",2018,"Jun",11,2647,4.15564790328674
"911","SAC",2018,"Jun",48,2182,21.9981668194317
"912","SVSP",2018,"Jun",38,3224,11.7866004962779
"913","CCI",2018,"Jul",31,3355,9.23994038748137
"914","COR",2018,"Jul",62,3261,19.0125728304201
"915","HDSP",2018,"Jul",27,3468,7.78546712802768
"916","KVSP",2018,"Jul",78,3577,21.8059826670394
"917","LAC",2018,"Jul",51,3199,15.942482025633
"918","PBSP",2018,"Jul",9,2632,3.41945288753799
"919","SAC",2018,"Jul",22,2181,10.087116001834
"920","SVSP",2018,"Jul",44,3202,13.7414116177389
"921","CCI",2018,"Aug",43,3427,12.5474175663846
"922","COR",2018,"Aug",50,3201,15.6201187129022
"923","HDSP",2018,"Aug",28,3405,8.22320117474302
"924","KVSP",2018,"Aug",71,3679,19.2987224789345
"925","LAC",2018,"Aug",54,3196,16.8961201501877
"926","PBSP",2018,"Aug",13,2618,4.96562261268144
"927","SAC",2018,"Aug",52,2165,24.0184757505774
"928","SVSP",2018,"Aug",48,3284,14.6163215590743
"929","CCI",2018,"Sep",33,3620,9.11602209944751
"930","COR",2018,"Sep",42,3228,13.0111524163569
"931","HDSP",2018,"Sep",33,3354,9.83899821109124
"932","KVSP",2018,"Sep",63,3683,17.1056204181374
"933","LAC",2018,"Sep",56,3198,17.5109443402126
"934","PBSP",2018,"Sep",22,2582,8.52052672347018
"935","SAC",2018,"Sep",43,2102,20.4567078972407
"936","SVSP",2018,"Sep",62,3349,18.5129889519259
"937","CCI",2018,"Oct",61,3817,15.981137018601
"938","COR",2018,"Oct",49,3256,15.04914004914
"939","HDSP",2018,"Oct",33,3311,9.96677740863787
"940","KVSP",2018,"Oct",67,3710,18.0592991913747
"941","LAC",2018,"Oct",47,3207,14.6554412223262
"942","PBSP",2018,"Oct",17,2557,6.64841611263199
"943","SAC",2018,"Oct",52,2072,25.0965250965251
"944","SVSP",2018,"Oct",55,3363,16.354445435623
"945","CCI",2018,"Nov",40,4020,9.9502487562189
"946","COR",2018,"Nov",41,3357,12.2132856717307
"947","HDSP",2018,"Nov",28,3335,8.39580209895052
"948","KVSP",2018,"Nov",57,3733,15.269220466113
"949","LAC",2018,"Nov",48,3185,15.0706436420722
"950","PBSP",2018,"Nov",18,2574,6.99300699300699
"951","SAC",2018,"Nov",47,2080,22.5961538461538
"952","SVSP",2018,"Nov",43,3432,12.5291375291375
"953","CCI",2018,"Dec",47,4096,11.474609375
"954","COR",2018,"Dec",55,3264,16.8504901960784
"955","HDSP",2018,"Dec",43,3340,12.874251497006
"956","KVSP",2018,"Dec",50,3757,13.3084908171413
"957","LAC",2018,"Dec",31,3183,9.7392397109645
"958","PBSP",2018,"Dec",12,2560,4.6875
"959","SAC",2018,"Dec",40,2091,19.1296030607365
"960","SVSP",2018,"Dec",55,3403,16.1622098148692
"961","CCI",2019,"Jan",44,4081,10.7816711590297
"962","COR",2019,"Jan",57,3324,17.1480144404332
"963","HDSP",2019,"Jan",28,3251,8.61273454321747
"964","KVSP",2019,"Jan",53,3738,14.1787051899411
"965","LAC",2019,"Jan",51,3164,16.1188369152971
"966","PBSP",2019,"Jan",14,2583,5.42005420054201
"967","SAC",2019,"Jan",55,2132,25.797373358349
"968","SVSP",2019,"Jan",51,3395,15.0220913107511
"969","CCI",2019,"Feb",33,4027,8.19468587037497
"970","COR",2019,"Feb",59,3383,17.4401418859001
"971","HDSP",2019,"Feb",23,3193,7.20325712496085
"972","KVSP",2019,"Feb",59,3727,15.8304266165817
"973","LAC",2019,"Feb",33,3144,10.4961832061069
"974","PBSP",2019,"Feb",15,2564,5.85023400936037
"975","SAC",2019,"Feb",38,2076,18.3044315992293
"976","SVSP",2019,"Feb",52,3476,14.9597238204833
"977","CCI",2019,"Mar",38,3958,9.60080848913593
"978","COR",2019,"Mar",61,3389,17.9994098554146
"979","HDSP",2019,"Mar",24,3236,7.41656365883807
"980","KVSP",2019,"Mar",58,3753,15.4543032240874
"981","LAC",2019,"Mar",46,3165,14.5339652448657
"982","PBSP",2019,"Mar",14,2561,5.46661460367044
"983","SAC",2019,"Mar",46,2086,22.0517737296261
