Institution,Year,Month,Use of Force,Inmate Count,Rate
COR,2010,Mar,17,5515,3.082502266545784
HDSP,2010,Mar,39,4522,8.624502432551967
KVSP,2010,Mar,32,4816,6.644518272425249
LAC,2010,Mar,47,4546,10.338759348878135
PBSP,2010,Mar,12,3381,3.5492457852706303
SAC,2010,Mar,31,2903,10.678608336203927
SVSP,2010,Mar,31,3769,8.224993366940833
CCI,2010,Apr,15,5954,2.5193147463889822
COR,2010,Apr,11,5321,2.067280586355948
HDSP,2010,Apr,33,4468,7.38585496866607
KVSP,2010,Apr,28,4811,5.819995842860112
LAC,2010,Apr,40,4595,8.705114254624592
PBSP,2010,Apr,17,3332,5.1020408163265305
SAC,2010,Apr,41,2923,14.026684912760862
SVSP,2010,Apr,55,3780,14.550264550264549
CCI,2010,May,25,5856,4.26912568306011
COR,2010,May,23,5239,4.390150792135904
HDSP,2010,May,40,4501,8.886914019106865
KVSP,2010,May,31,4831,6.416890912854482
LAC,2010,May,36,4530,7.947019867549669
PBSP,2010,May,28,3320,8.433734939759036
SAC,2010,May,35,2927,11.957635804578066
SVSP,2010,May,29,3797,7.637608638398736
CCI,2010,Jun,19,5925,3.2067510548523206
COR,2010,Jun,15,5191,2.8896166441918707
HDSP,2010,Jun,48,4470,10.738255033557046
KVSP,2010,Jun,38,4762,7.979840403191937
LAC,2010,Jun,37,4503,8.216744392627136
PBSP,2010,Jun,13,3309,3.9286793593230582
SAC,2010,Jun,43,2923,14.71091344509066
SVSP,2010,Jun,27,3759,7.182761372705507
CCI,2010,Jul,18,5970,3.015075376884422
COR,2010,Jul,17,5216,3.25920245398773
HDSP,2010,Jul,34,4474,7.5994635672776045
KVSP,2010,Jul,43,4580,9.388646288209607
LAC,2010,Jul,41,4597,8.91886012616924
PBSP,2010,Jul,19,3283,5.787389582698751
SAC,2010,Jul,32,2905,11.015490533562824
SVSP,2010,Jul,43,3666,11.729405346426624
CCI,2010,Aug,13,5962,2.1804763502180475
COR,2010,Aug,29,5154,5.626697710516105
HDSP,2010,Aug,37,4301,8.602650546384563
KVSP,2010,Aug,37,4381,8.445560374343756
LAC,2010,Aug,25,4504,5.550621669626999
PBSP,2010,Aug,14,3263,4.29053018694453
SAC,2010,Aug,29,2903,9.989665862900447
SVSP,2010,Aug,28,3730,7.506702412868633
CCI,2010,Sep,20,5848,3.4199726402188784
COR,2010,Sep,15,5109,2.935995302407516
HDSP,2010,Sep,39,4305,9.059233449477352
KVSP,2010,Sep,46,4581,10.04147566033617
LAC,2010,Sep,42,4484,9.36663693131133
PBSP,2010,Sep,13,3253,3.996311097448509
SAC,2010,Sep,33,2931,11.258955987717503
SVSP,2010,Sep,41,3770,10.875331564986737
CCI,2010,Oct,28,5816,4.814305364511692
COR,2010,Oct,23,5085,4.523107177974435
HDSP,2010,Oct,20,4275,4.678362573099415
KVSP,2010,Oct,36,4680,7.6923076923076925
LAC,2010,Oct,38,4505,8.435072142064373
PBSP,2010,Oct,15,3225,4.651162790697675
SAC,2010,Oct,33,2948,11.194029850746269
SVSP,2010,Oct,54,3742,14.430785676109034
CCI,2010,Nov,16,5753,2.781157656874674
COR,2010,Nov,16,4986,3.208985158443642
HDSP,2010,Nov,28,4249,6.589785831960461
KVSP,2010,Nov,38,4709,8.069653854321512
LAC,2010,Nov,25,4495,5.561735261401558
PBSP,2010,Nov,6,3247,1.8478595626732368
SAC,2010,Nov,41,2916,14.060356652949245
SVSP,2010,Nov,47,3736,12.580299785867238
CCI,2010,Dec,26,5754,4.518595759471672
COR,2010,Dec,29,4996,5.804643714971977
HDSP,2010,Dec,28,4248,6.5913370998116765
KVSP,2010,Dec,48,4671,10.276172125883107
LAC,2010,Dec,25,4498,5.558025789239662
PBSP,2010,Dec,15,3221,4.656938838869917
SAC,2010,Dec,22,2852,7.713884992987377
SVSP,2010,Dec,35,3778,9.264160931709899
CCI,2011,Jan,21,5661,3.7095919448860624
COR,2011,Jan,20,4817,4.151961801951422
HDSP,2011,Jan,19,4176,4.549808429118774
KVSP,2011,Jan,33,4669,7.067894624116514
LAC,2011,Jan,36,4493,8.012463832628534
PBSP,2011,Jan,14,3222,4.3451272501551825
SAC,2011,Jan,26,2810,9.252669039145907
SVSP,2011,Jan,71,3769,18.83788803396126
CCI,2011,Feb,19,5558,3.418495861820799
COR,2011,Feb,14,4656,3.006872852233677
HDSP,2011,Feb,27,4166,6.481036965914546
KVSP,2011,Feb,33,4664,7.0754716981132075
LAC,2011,Feb,35,4374,8.001828989483311
PBSP,2011,Feb,7,3165,2.211690363349131
SAC,2011,Feb,31,2799,11.075384065737763
SVSP,2011,Feb,48,3764,12.752391073326248
CCI,2011,Mar,22,5546,3.9668229354489717
COR,2011,Mar,23,4948,4.648342764753436
HDSP,2011,Mar,20,4133,4.839099927413502
KVSP,2011,Mar,35,4637,7.547983610092733
LAC,2011,Mar,36,4388,8.204193254329992
PBSP,2011,Mar,26,3182,8.170961659333752
SAC,2011,Mar,27,2771,9.743774810537712
SVSP,2011,Mar,53,3759,14.099494546421921
CCI,2011,Apr,28,5599,5.000893016610109
COR,2011,Apr,25,4923,5.078204346942921
HDSP,2011,Apr,16,4205,3.8049940546967895
KVSP,2011,Apr,24,4613,5.20268805549534
LAC,2011,Apr,44,4353,10.10797151389846
PBSP,2011,Apr,22,3155,6.9730586370839935
SAC,2011,Apr,35,2839,12.328284607256075
SVSP,2011,Apr,39,3811,10.233534505379167
CCI,2011,May,31,5729,5.411066503752837
COR,2011,May,23,4955,4.641775983854692
HDSP,2011,May,34,4223,8.051148472649775
KVSP,2011,May,40,4628,8.64304235090752
LAC,2011,May,36,4320,8.333333333333334
PBSP,2011,May,20,3082,6.489292667099286
SAC,2011,May,40,2840,14.084507042253522
SVSP,2011,May,58,3823,15.171331415119017
CCI,2011,Jun,33,5626,5.865623889086384
COR,2011,Jun,16,4982,3.2115616218386194
HDSP,2011,Jun,29,4255,6.81551116333725
KVSP,2011,Jun,46,4680,9.82905982905983
LAC,2011,Jun,34,4322,7.866728366496992
PBSP,2011,Jun,20,3134,6.381620931716657
SAC,2011,Jun,38,2850,13.333333333333334
SVSP,2011,Jun,37,3879,9.53854086104666
CCI,2011,Jul,36,5732,6.280530355896721
COR,2011,Jul,36,4876,7.383100902378999
HDSP,2011,Jul,46,4241,10.84649846734261
KVSP,2011,Jul,48,4718,10.173802458668929
LAC,2011,Jul,40,4220,9.47867298578199
PBSP,2011,Jul,21,3212,6.537982565379826
SAC,2011,Jul,47,2837,16.566795911173774
SVSP,2011,Jul,43,3955,10.872313527180783
CCI,2011,Aug,31,5673,5.46448087431694
COR,2011,Aug,34,4888,6.955810147299509
HDSP,2011,Aug,33,4293,7.686932215234102
KVSP,2011,Aug,48,4699,10.214939348797618
LAC,2011,Aug,46,4290,10.722610722610723
PBSP,2011,Aug,9,3262,2.7590435315757205
SAC,2011,Aug,34,2820,12.056737588652481
SVSP,2011,Aug,54,3937,13.716027432054865
CCI,2011,Sep,28,5701,4.911419049289599
COR,2011,Sep,23,5005,4.595404595404595
HDSP,2011,Sep,29,4292,6.756756756756757
KVSP,2011,Sep,36,4684,7.685738684884714
LAC,2011,Sep,28,4306,6.502554575011612
PBSP,2011,Sep,10,3272,3.0562347188264063
SAC,2011,Sep,39,2851,13.679410733076113
SVSP,2011,Sep,58,3950,14.683544303797468
CCI,2011,Oct,27,5509,4.901070974768561
COR,2011,Oct,26,4990,5.210420841683367
HDSP,2011,Oct,33,4133,7.984514880232277
KVSP,2011,Oct,43,4629,9.289263339814214
LAC,2011,Oct,37,4322,8.560851457658492
PBSP,2011,Oct,12,3228,3.717472118959108
SAC,2011,Oct,43,2836,15.162200282087447
SVSP,2011,Oct,39,3982,9.794073329984933
CCI,2011,Nov,35,5236,6.684491978609626
COR,2011,Nov,28,4817,5.812746522731991
HDSP,2011,Nov,25,4057,6.162188809465122
KVSP,2011,Nov,26,4437,5.859815190443994
LAC,2011,Nov,40,3937,10.16002032004064
PBSP,2011,Nov,18,3215,5.598755832037325
SAC,2011,Nov,36,2827,12.734347364697559
SVSP,2011,Nov,55,3944,13.94523326572008
CCI,2011,Dec,27,5089,5.30556101395166
COR,2011,Dec,29,4797,6.0454450698353135
HDSP,2011,Dec,20,4082,4.899559039686428
KVSP,2011,Dec,21,4368,4.807692307692308
LAC,2011,Dec,37,3851,9.6078940534926
PBSP,2011,Dec,22,3165,6.9510268562401265
SAC,2011,Dec,30,2847,10.53740779768177
SVSP,2011,Dec,45,3955,11.378002528445007
CCI,2012,Jan,20,4599,4.348771472059143
COR,2012,Jan,24,4566,5.256241787122208
HDSP,2012,Jan,34,3955,8.596713021491784
KVSP,2012,Jan,34,4336,7.841328413284132
LAC,2012,Jan,31,3583,8.651967624895338
PBSP,2012,Jan,26,3076,8.45253576072822
SAC,2012,Jan,33,2891,11.414735385679695
SVSP,2012,Jan,55,3934,13.980681240467717
CCI,2012,Feb,10,4659,2.14638334406525
COR,2012,Feb,22,4430,4.966139954853273
HDSP,2012,Feb,33,3874,8.518327310273618
KVSP,2012,Feb,35,4210,8.31353919239905
LAC,2012,Feb,35,3727,9.390931043734907
PBSP,2012,Feb,18,3076,5.851755526657998
SAC,2012,Feb,23,2811,8.182141586623978
SVSP,2012,Feb,45,3741,12.028869286287089
CCI,2012,Mar,20,4728,4.230118443316413
COR,2012,Mar,25,4504,5.550621669626999
HDSP,2012,Mar,18,3786,4.754358161648177
KVSP,2012,Mar,34,4174,8.145663632007667
LAC,2012,Mar,36,3894,9.244992295839754
PBSP,2012,Mar,19,3091,6.146878032999029
SAC,2012,Mar,33,2786,11.844938980617373
SVSP,2012,Mar,48,3532,13.590033975084937
CCI,2012,Apr,12,4636,2.588438308886971
COR,2012,Apr,29,4558,6.362439666520404
HDSP,2012,Apr,32,3722,8.597528210639442
KVSP,2012,Apr,38,4179,9.093084469968892
LAC,2012,Apr,31,3936,7.876016260162601
PBSP,2012,Apr,13,3078,4.223521767381416
SAC,2012,Apr,40,2750,14.545454545454545
SVSP,2012,Apr,40,3538,11.305822498586773
CCI,2012,May,15,4557,3.291639236339697
COR,2012,May,36,4658,7.728638900815801
HDSP,2012,May,39,3754,10.388918486947256
KVSP,2012,May,30,4196,7.149666348903718
LAC,2012,May,46,3950,11.645569620253164
PBSP,2012,May,22,3113,7.067137809187279
SAC,2012,May,26,2700,9.62962962962963
SVSP,2012,May,52,3534,14.714204867006226
CCI,2012,Jun,18,4607,3.907097894508357
COR,2012,Jun,26,4657,5.58299334335409
HDSP,2012,Jun,30,3734,8.034279592929833
KVSP,2012,Jun,35,4186,8.361204013377925
LAC,2012,Jun,36,3938,9.14169629253428
PBSP,2012,Jun,28,3177,8.813345923827509
SAC,2012,Jun,53,2720,19.485294117647058
SVSP,2012,Jun,49,3560,13.764044943820224
CCI,2012,Jul,27,4685,5.76307363927428
COR,2012,Jul,28,4743,5.903436643474595
HDSP,2012,Jul,28,3729,7.508715473317243
KVSP,2012,Jul,53,4149,12.774162448782839
