Institution,Year,Month,Use of Force,Inmate Count
HDSP,2016,Dec,17,3712
KVSP,2016,Dec,28,3701
LAC,2016,Dec,28,3363
PBSP,2016,Dec,8,2145
SAC,2016,Dec,56,2243
SATF,2016,Dec,22,5421
SVSP,2016,Dec,28,3693
CCI,2017,Jan,24,3697
COR,2017,Jan,51,3466
HDSP,2017,Jan,12,3692
KVSP,2017,Jan,28,3741
LAC,2017,Jan,39,3414
PBSP,2017,Jan,10,2112
SAC,2017,Jan,48,2231
SATF,2017,Jan,18,5494
SVSP,2017,Jan,51,3407
CCI,2017,Feb,26,3812
COR,2017,Feb,35,3442
HDSP,2017,Feb,22,3692
KVSP,2017,Feb,36,3738
LAC,2017,Feb,44,3396
PBSP,2017,Feb,8,2106
SAC,2017,Feb,34,2197
SATF,2017,Feb,20,5544
SVSP,2017,Feb,33,3373
CCI,2017,Mar,35,3875
COR,2017,Mar,42,3324
HDSP,2017,Mar,13,3647
KVSP,2017,Mar,37,3684
LAC,2017,Mar,48,3423
PBSP,2017,Mar,9,2068
SAC,2017,Mar,31,2284
SATF,2017,Mar,22,5644
SVSP,2017,Mar,34,3476
CCI,2017,Apr,35,3867
COR,2017,Apr,32,3259
HDSP,2017,Apr,13,3691
KVSP,2017,Apr,24,3674
LAC,2017,Apr,54,3298
PBSP,2017,Apr,9,2032
SAC,2017,Apr,38,2301
SATF,2017,Apr,12,5571
SVSP,2017,Apr,36,3612
CCI,2017,May,30,3771
COR,2017,May,40,3028
HDSP,2017,May,18,3791
KVSP,2017,May,41,3713
LAC,2017,May,48,3320
PBSP,2017,May,11,2023
SAC,2017,May,53,2322
SATF,2017,May,14,5654
SVSP,2017,May,33,3619
CCI,2017,Jun,38,3806
COR,2017,Jun,39,3069
HDSP,2017,Jun,29,3729
KVSP,2017,Jun,47,3661
LAC,2017,Jun,30,3379
PBSP,2017,Jun,6,2047
SAC,2017,Jun,42,2305
SATF,2017,Jun,18,5650
SVSP,2017,Jun,42,3592
CCI,2017,Jul,32,3798
COR,2017,Jul,41,3208
HDSP,2017,Jul,18,3579
KVSP,2017,Jul,49,3626
LAC,2017,Jul,48,3366
PBSP,2017,Jul,3,2068
SAC,2017,Jul,54,2302
SATF,2017,Jul,16,5708
SVSP,2017,Jul,35,3535
CCI,2017,Aug,35,3846
COR,2017,Aug,49,3227
HDSP,2017,Aug,22,3548
KVSP,2017,Aug,43,3612
LAC,2017,Aug,35,3437
PBSP,2017,Aug,6,2182
SAC,2017,Aug,53,2200
SATF,2017,Aug,22,5662
SVSP,2017,Aug,37,3546
CCI,2017,Sep,27,3843
COR,2017,Sep,35,3148
HDSP,2017,Sep,20,3581
KVSP,2017,Sep,54,3680
LAC,2017,Sep,42,3462
PBSP,2017,Sep,10,2304
SAC,2017,Sep,39,2176
SATF,2017,Sep,17,5748
SVSP,2017,Sep,35,3552
CCI,2017,Oct,26,3788
COR,2017,Oct,43,3109
HDSP,2017,Oct,31,3490
KVSP,2017,Oct,27,3692
LAC,2017,Oct,44,3429
PBSP,2017,Oct,19,2444
SAC,2017,Oct,33,2148
SATF,2017,Oct,11,5773
SVSP,2017,Oct,36,3508
CCI,2017,Nov,24,3824
COR,2017,Nov,30,3034
HDSP,2017,Nov,32,3446
KVSP,2017,Nov,36,3719
LAC,2017,Nov,39,3379
PBSP,2017,Nov,8,2519
SAC,2017,Nov,50,2091
SATF,2017,Nov,14,5687
SVSP,2017,Nov,44,3568
CCI,2017,Dec,35,3495
COR,2017,Dec,41,2965
HDSP,2017,Dec,26,3422
KVSP,2017,Dec,47,3677
LAC,2017,Dec,35,3383
PBSP,2017,Dec,10,2572
SAC,2017,Dec,30,2069
SATF,2017,Dec,18,5667
SVSP,2017,Dec,32,3597
CCI,2018,Jan,33,3381
COR,2018,Jan,47,3069
HDSP,2018,Jan,24,3415
KVSP,2018,Jan,49,3592
LAC,2018,Jan,44,3344
PBSP,2018,Jan,11,2617
SAC,2018,Jan,36,2122
SATF,2018,Jan,16,5621
SVSP,2018,Jan,33,3547
CCI,2018,Feb,33,3350
COR,2018,Feb,46,3112
HDSP,2018,Feb,22,3477
KVSP,2018,Feb,42,3439
LAC,2018,Feb,45,3273
PBSP,2018,Feb,15,2657
SAC,2018,Feb,40,2163
SATF,2018,Feb,16,5743
SVSP,2018,Feb,47,3490
CCI,2018,Mar,28,3292
COR,2018,Mar,55,3140
HDSP,2018,Mar,23,3480
KVSP,2018,Mar,51,3416
LAC,2018,Mar,41,3234
PBSP,2018,Mar,12,2682
SAC,2018,Mar,47,2169
SATF,2018,Mar,22,5842
SVSP,2018,Mar,59,3439
CCI,2018,Apr,13,3232
COR,2018,Apr,45,3172
HDSP,2018,Apr,23,3460
KVSP,2018,Apr,40,3394
LAC,2018,Apr,41,3206
PBSP,2018,Apr,12,2678
SAC,2018,Apr,52,2148
SATF,2018,Apr,30,5980
SVSP,2018,Apr,54,3353
CCI,2018,May,31,3252
COR,2018,May,50,3152
HDSP,2018,May,29,3429
KVSP,2018,May,49,3445
LAC,2018,May,56,3205
PBSP,2018,May,13,2664
SAC,2018,May,61,2182
SATF,2018,May,17,6006
SVSP,2018,May,44,3264
CCI,2018,Jun,28,3331
COR,2018,Jun,46,3199
HDSP,2018,Jun,28,3420
KVSP,2018,Jun,79,3526
LAC,2018,Jun,41,3122
PBSP,2018,Jun,11,2641
SAC,2018,Jun,48,2155
SATF,2018,Jun,15,5926
SVSP,2018,Jun,38,3190
CCI,2018,Jul,31,3339
COR,2018,Jul,62,3232
HDSP,2018,Jul,27,3464
KVSP,2018,Jul,78,3555
LAC,2018,Jul,51,3172
PBSP,2018,Jul,9,2624
SAC,2018,Jul,22,2156
SATF,2018,Jul,25,5853
SVSP,2018,Jul,44,3166
CCI,2018,Aug,43,3410
COR,2018,Aug,51,3171
HDSP,2018,Aug,28,3396
KVSP,2018,Aug,71,3652
LAC,2018,Aug,54,3164
PBSP,2018,Aug,13,2611
SAC,2018,Aug,52,2138
SATF,2018,Aug,19,5852
SVSP,2018,Aug,49,3244
CCI,2018,Sep,33,3600
COR,2018,Sep,42,3193
HDSP,2018,Sep,33,3343
KVSP,2018,Sep,63,3653
LAC,2018,Sep,56,3162
PBSP,2018,Sep,22,2576
SAC,2018,Sep,43,2075
SATF,2018,Sep,24,5819
SVSP,2018,Sep,62,3313
CCI,2018,Oct,61,3797
COR,2018,Oct,49,3231
HDSP,2018,Oct,33,3301
KVSP,2018,Oct,67,3681
LAC,2018,Oct,47,3172
PBSP,2018,Oct,17,2548
SAC,2018,Oct,52,2039
SATF,2018,Oct,18,5678
SVSP,2018,Oct,55,3328
CCI,2018,Nov,40,4000
COR,2018,Nov,42,3332
HDSP,2018,Nov,28,3325
KVSP,2018,Nov,58,3703
LAC,2018,Nov,48,3150
PBSP,2018,Nov,18,2570
SAC,2018,Nov,47,2051
SATF,2018,Nov,25,5631
SVSP,2018,Nov,43,3388
CCI,2018,Dec,47,4074
COR,2018,Dec,55,3241
HDSP,2018,Dec,43,3328
KVSP,2018,Dec,50,3729
LAC,2018,Dec,31,3160
PBSP,2018,Dec,12,2555
SAC,2018,Dec,40,2064
SATF,2018,Dec,18,5614
SVSP,2018,Dec,55,3362
CCI,2019,Jan,44,4059
COR,2019,Jan,57,3291
HDSP,2019,Jan,28,3240
KVSP,2019,Jan,53,3703
LAC,2019,Jan,51,3131
PBSP,2019,Jan,14,2578
SAC,2019,Jan,55,2108
SATF,2019,Jan,10,5586
SVSP,2019,Jan,51,3353
CCI,2019,Feb,33,4000
COR,2019,Feb,59,3346
HDSP,2019,Feb,23,3179
KVSP,2019,Feb,59,3698
LAC,2019,Feb,33,3116
PBSP,2019,Feb,15,2559
SAC,2019,Feb,38,2043
SATF,2019,Feb,19,5526
SVSP,2019,Feb,52,3429
CCI,2019,Mar,38,3930
COR,2019,Mar,61,3351
HDSP,2019,Mar,24,3224
KVSP,2019,Mar,58,3716
LAC,2019,Mar,46,3136
PBSP,2019,Mar,14,2553
SAC,2019,Mar,46,2057
SATF,2019,Mar,18,5508
SVSP,2019,Mar,53,3408
CCI,2019,Apr,40,3891
COR,2019,Apr,60,3235
HDSP,2019,Apr,38,3187
KVSP,2019,Apr,57,3679
LAC,2019,Apr,54,3200
PBSP,2019,Apr,9,2588
SAC,2019,Apr,59,2101
SATF,2019,Apr,24,5598
SVSP,2019,Apr,52,3337
CCI,2019,May,57,3858
COR,2019,May,54,3192
HDSP,2019,May,29,3128
KVSP,2019,May,58,3644
LAC,2019,May,62,3193
PBSP,2019,May,14,2600
SAC,2019,May,51,2100
SATF,2019,May,25,5498
SVSP,2019,May,50,3189
CCI,2019,Jun,47,3739
COR,2019,Jun,62,3179
HDSP,2019,Jun,23,3127
KVSP,2019,Jun,69,3604
LAC,2019,Jun,41,3207
PBSP,2019,Jun,7,2663
SAC,2019,Jun,63,2112
SATF,2019,Jun,17,5454
SVSP,2019,Jun,59,3148
CCI,2019,Jul,26,3678
COR,2019,Jul,52,3161
HDSP,2019,Jul,26,3130
KVSP,2019,Jul,52,3568
LAC,2019,Jul,63,3175
PBSP,2019,Jul,15,2625
SAC,2019,Jul,69,2126
SATF,2019,Jul,20,5516
SVSP,2019,Jul,54,3143
CCI,2019,Aug,35,3709
COR,2019,Aug,48,3182
HDSP,2019,Aug,37,3321
KVSP,2019,Aug,64,3584
LAC,2019,Aug,44,3159
PBSP,2019,Aug,17,2616
SAC,2019,Aug,62,2135
SATF,2019,Aug,27,5540
SVSP,2019,Aug,43,3051
CCI,2019,Sep,46,3779
COR,2019,Sep,50,3212
HDSP,2019,Sep,36,3190
KVSP,2019,Sep,44,3554
LAC,2019,Sep,47,3118
PBSP,2019,Sep,10,2616
SAC,2019,Sep,62,2131
SATF,2019,Sep,23,5477
SVSP,2019,Sep,57,3015
CCI,2019,Oct,27,3749
COR,2019,Oct,41,3225
HDSP,2019,Oct,34,3201
KVSP,2019,Oct,57,3574
LAC,2019,Oct,48,3124
PBSP,2019,Oct,10,2644
SAC,2019,Oct,72,2152
SATF,2019,Oct,20,5380
SVSP,2019,Oct,30,2931
CCI,2019,Nov,28,3720
COR,2019,Nov,42,3147
HDSP,2019,Nov,29,3164
KVSP,2019,Nov,57,3619
LAC,2019,Nov,46,3138
PBSP,2019,Nov,14,2600
SAC,2019,Nov,59,2214
SATF,2019,Nov,19,5362
SVSP,2019,Nov,47,2963
CCI,2019,Dec,31,3694
COR,2019,Dec,24,3141
HDSP,2019,Dec,30,3110
KVSP,2019,Dec,54,3589
LAC,2019,Dec,33,3193
PBSP,2019,Dec,2,2598
SAC,2019,Dec,6,2270
SATF,2019,Dec,15,5303
SVSP,2019,Dec,49,2946
CAC,2020,Jan,6,2140
CCI,2020,Jan,41,3700
COR,2020,Jan,26,3042
HDSP,2020,Jan,27,3161
KVSP,2020,Jan,37,3553
LAC,2020,Jan,43,3219
PBSP,2020,Jan,24,2648
SAC,2020,Jan,57,2354
SATF,2020,Jan,21,5296
SVSP,2020,Jan,52,2921
CAC,2020,Feb,5,2113
CCI,2020,Feb,35,3659
COR,2020,Feb,24,2915
HDSP,2020,Feb,41,3255
KVSP,2020,Feb,57,3512
LAC,2020,Feb,38,3200
PBSP,2020,Feb,27,2628
SAC,2020,Feb,62,2425
SATF,2020,Feb,21,5297
SVSP,2020,Feb,66,2957
CAC,2020,Mar,5,2070
CCI,2020,Mar,40,3666
COR,2020,Mar,23,2819
HDSP,2020,Mar,39,3352
KVSP,2020,Mar,46,3602
LAC,2020,Mar,41,3220
PBSP,2020,Mar,13,2677
SAC,2020,Mar,68,2417
SATF,2020,Mar,22,5278
SVSP,2020,Mar,55,2930
CAC,2020,Apr,4,2081
CCI,2020,Apr,35,3516
COR,2020,Apr,21,3719
HDSP,2020,Apr,29,3286
KVSP,2020,Apr,66,3534
LAC,2020,Apr,25,3158
PBSP,2020,Apr,12,2608
SAC,2020,Apr,47,2363
SATF,2020,Apr,25,4844
SVSP,2020,Apr,45,2877
CAC,2020,May,7,2201
CCI,2020,May,38,3655
COR,2020,May,26,3741
HDSP,2020,May,33,3453
KVSP,2020,May,31,3645
LAC,2020,May,35,3149
PBSP,2020,May,11,2578
SAC,2020,May,77,2346
SATF,2020,May,14,4845
SVSP,2020,May,45,2904
CAC,2020,Jun,8,2160
CCI,2020,Jun,53,3715
COR,2020,Jun,23,3572
HDSP,2020,Jun,33,3572
KVSP,2020,Jun,40,3700
LAC,2020,Jun,22,3101
PBSP,2020,Jun,8,2524
SAC,2020,Jun,54,2363
SATF,2020,Jun,25,4836
SVSP,2020,Jun,51,2896
CAC,2020,Jul,0,2092
CCI,2020,Jul,27,3445
COR,2020,Jul,15,3453
HDSP,2020,Jul,28,3461
KVSP,2020,Jul,36,3580
LAC,2020,Jul,23,3068
PBSP,2020,Jul,11,2432
SAC,2020,Jul,60,2316
SATF,2020,Jul,14,4674
SVSP,2020,Jul,34,2817
CAC,2020,Aug,9,2235
CCI,2020,Aug,25,3313
COR,2020,Aug,14,3314
HDSP,2020,Aug,24,3349
KVSP,2020,Aug,26,3520
LAC,2020,Aug,19,3016
PBSP,2020,Aug,10,2380
SAC,2020,Aug,57,2250
SATF,2020,Aug,20,4531
SVSP,2020,Aug,40,2754
CAC,2020,Sep,1,2188
CCI,2020,Sep,22,3103
COR,2020,Sep,15,3234
HDSP,2020,Sep,27,3352
KVSP,2020,Sep,25,3515
LAC,2020,Sep,28,2959
PBSP,2020,Sep,7,2317
SAC,2020,Sep,49,2243
SATF,2020,Sep,7,4442
SVSP,2020,Sep,33,2759
CAC,2020,Oct,4,2151
CCI,2020,Oct,27,3000
COR,2020,Oct,15,2958
HDSP,2020,Oct,33,3342
KVSP,2020,Oct,33,3623
LAC,2020,Oct,21,2805
PBSP,2020,Oct,6,2290
SAC,2020,Oct,60,2246
SATF,2020,Oct,17,4446
SVSP,2020,Oct,38,2799
CAC,2020,Nov,2,2082
CCI,2020,Nov,28,2983
COR,2020,Nov,10,2970
HDSP,2020,Nov,12,3338
KVSP,2020,Nov,22,3643
LAC,2020,Nov,29,2739
PBSP,2020,Nov,9,2243
SAC,2020,Nov,45,2249
SATF,2020,Nov,16,4377
SVSP,2020,Nov,40,2819
CAC,2020,Dec,2,2015
CCI,2020,Dec,20,2914
COR,2020,Dec,10,2918
HDSP,2020,Dec,11,3302
KVSP,2020,Dec,19,3617
LAC,2020,Dec,18,2704
PBSP,2020,Dec,5,2209
SAC,2020,Dec,48,2227
SATF,2020,Dec,22,4315
SVSP,2020,Dec,30,2802
CAC,2021,Jan,6,1991
CCI,2021,Jan,18,2929
COR,2021,Jan,9,2917
HDSP,2021,Jan,21,3296
KVSP,2021,Jan,45,3629
LAC,2021,Jan,20,2680
SAC,2021,Jan,37,2233
SATF,2021,Jan,16,4323
SVSP,2021,Jan,35,2885
CAC,2021,Feb,2,1919
CCI,2021,Feb,21,2912
COR,2021,Feb,17,2962
HDSP,2021,Feb,22,3290
KVSP,2021,Feb,39,3630
LAC,2021,Feb,20,2664
SAC,2021,Feb,46,2233
SATF,2021,Feb,19,4444
SVSP,2021,Feb,61,2976
CAC,2021,Mar,4,1840
CCI,2021,Mar,24,2898
COR,2021,Mar,16,3011
HDSP,2021,Mar,28,3293
KVSP,2021,Mar,43,3637
LAC,2021,Mar,23,2665
SAC,2021,Mar,45,2232
SATF,2021,Mar,14,4511
SVSP,2021,Mar,66,3038
CAC,2021,Apr,10,1987
CCI,2021,Apr,20,2957
COR,2021,Apr,22,3079
HDSP,2021,Apr,34,3303
KVSP,2021,Apr,31,3584
LAC,2021,Apr,24,2721
SAC,2021,Apr,43,2217
SATF,2021,Apr,14,4653
SVSP,2021,Apr,64,3048
CAC,2021,May,2,2001
CCI,2021,May,27,2952
COR,2021,May,27,3136
HDSP,2021,May,38,3262
KVSP,2021,May,27,3497
LAC,2021,May,30,2753
SAC,2021,May,58,2197
SATF,2021,May,16,4790
SVSP,2021,May,63,3021
CAC,2021,Jun,2,2088
CCI,2021,Jun,22,2985
COR,2021,Jun,19,3259
HDSP,2021,Jun,32,3285
KVSP,2021,Jun,32,3447
LAC,2021,Jun,19,2729
SAC,2021,Jun,43,2135
SATF,2021,Jun,18,4969
SVSP,2021,Jun,61,3009
CAC,2021,Jul,9,2054
CCI,2021,Jul,22,2842
COR,2021,Jul,16,3241
HDSP,2021,Jul,19,3222
KVSP,2021,Jul,33,3426
LAC,2021,Jul,45,2696
SAC,2021,Jul,42,2077
SATF,2021,Jul,18,5058
SVSP,2021,Jul,65,3006
CAC,2021,Aug,6,2113
CCI,2021,Aug,26,2786
COR,2021,Aug,18,3380
HDSP,2021,Aug,21,3233
KVSP,2021,Aug,32,3438
LAC,2021,Aug,28,2705
SAC,2021,Aug,39,2077
SATF,2021,Aug,25,5030
SVSP,2021,Aug,63,2997
CAC,2021,Sep,4,2119
CCI,2021,Sep,23,2694
COR,2021,Sep,32,3433
HDSP,2021,Sep,23,3208
KVSP,2021,Sep,23,3414
LAC,2021,Sep,40,2748
SAC,2021,Sep,38,2013
SATF,2021,Sep,22,5007
SVSP,2021,Sep,44,2978
CAC,2021,Oct,11,2091
CCI,2021,Oct,15,2654
COR,2021,Oct,22,3492
HDSP,2021,Oct,31,3193
KVSP,2021,Oct,16,3410
LAC,2021,Oct,46,2755
SAC,2021,Oct,51,2005
SATF,2021,Oct,29,5015
SVSP,2021,Oct,78,2944
CAC,2021,Nov,6,2130
CCI,2021,Nov,24,2677
COR,2021,Nov,17,3625
HDSP,2021,Nov,34,2949
KVSP,2021,Nov,24,3385
LAC,2021,Nov,41,2732
SAC,2021,Nov,64,1991
SATF,2021,Nov,24,5005
SVSP,2021,Nov,49,2982
CAC,2021,Dec,1,2154
CCI,2021,Dec,39,3073
COR,2021,Dec,35,3615
HDSP,2021,Dec,16,2317
KVSP,2021,Dec,26,3363
LAC,2021,Dec,41,2771
SAC,2021,Dec,44,1908
SATF,2021,Dec,19,4958
SVSP,2021,Dec,56,3003
CAC,2022,Oct,12,1936
CCI,2022,Oct,41,2890
COR,2022,Oct,45,3323
HDSP,2022,Oct,9,2382
KVSP,2022,Oct,22,2611
LAC,2022,Oct,52,2445
PBSP,2022,Oct,18,1783
SAC,2022,Oct,40,1971
SATF,2022,Oct,21,4782
SVSP,2022,Oct,53,3028
CAC,2022,Nov,4,1930
CCI,2022,Nov,38,2806
COR,2022,Nov,44,3267
HDSP,2022,Nov,9,2331
KVSP,2022,Nov,18,2533
LAC,2022,Nov,65,2479
PBSP,2022,Nov,18,1817
SAC,2022,Nov,54,1935
SATF,2022,Nov,20,4801
SVSP,2022,Nov,70,3047
CAC,2022,Dec,4,1837
CCI,2022,Dec,29,2725
COR,2022,Dec,62,3387
HDSP,2022,Dec,8,2407
KVSP,2022,Dec,26,2485
LAC,2022,Dec,51,2523
PBSP,2022,Dec,21,1770
SAC,2022,Dec,44,1782
SATF,2022,Dec,33,4765
SVSP,2022,Dec,42,3046
CAC,2023,Jan,7,1820
CCI,2023,Jan,34,2651
COR,2023,Jan,73,3497
HDSP,2023,Jan,10,2123
KVSP,2023,Jan,17,2496
LAC,2023,Jan,59,2554
PBSP,2023,Jan,20,1740
SAC,2023,Jan,50,1640
SATF,2023,Jan,24,4750
SVSP,2023,Jan,48,3012
CAC,2023,Feb,4,1771
CCI,2023,Feb,44,2572
COR,2023,Feb,51,3484
HDSP,2023,Feb,9,2020
KVSP,2023,Feb,20,2481
LAC,2023,Feb,74,2570
PBSP,2023,Feb,12,1713
SAC,2023,Feb,44,1586
SATF,2023,Feb,15,4734
SVSP,2023,Feb,41,3053
CAC,2023,Mar,7,1655
CCI,2023,Mar,19,2383
COR,2023,Mar,59,3463
HDSP,2023,Mar,26,2352
KVSP,2023,Mar,32,2591
LAC,2023,Mar,65,2637
PBSP,2023,Mar,17,1676
SAC,2023,Mar,61,1509
SATF,2023,Mar,38,4778
SVSP,2023,Mar,64,2985
CAC,2023,Apr,6,1387
CCI,2023,Apr,23,2188
COR,2023,Apr,67,3403
HDSP,2023,Apr,19,2573
KVSP,2023,Apr,30,2685
LAC,2023,Apr,68,2636
PBSP,2023,Apr,17,1632
SAC,2023,Apr,62,1512
SATF,2023,Apr,28,4695
SVSP,2023,Apr,57,2990
CAC,2023,May,2,1025
CCI,2023,May,19,1937
COR,2023,May,43,3337
HDSP,2023,May,12,2562
KVSP,2023,May,32,2763
LAC,2023,May,87,2626
PBSP,2023,May,16,1631
SAC,2023,May,66,1556
SATF,2023,May,36,4612
SVSP,2023,May,61,2994
CAC,2023,Jun,0,642
CCI,2023,Jun,24,1661
COR,2023,Jun,34,3389
HDSP,2023,Jun,16,2501
KVSP,2023,Jun,35,2793
LAC,2023,Jun,91,2660
PBSP,2023,Jun,9,1627
SAC,2023,Jun,47,1759
SATF,2023,Jun,29,4598
SVSP,2023,Jun,64,2986
