Institution,Year,Month,Use of Force,Inmate Count
SATF,2010,Oct,27,6446
SVSP,2010,Oct,54,3742
CCI,2010,Nov,16,5753
COR,2010,Nov,16,4986
HDSP,2010,Nov,28,4249
KVSP,2010,Nov,38,4709
LAC,2010,Nov,25,4495
PBSP,2010,Nov,6,3247
SAC,2010,Nov,41,2916
SATF,2010,Nov,17,6349
SVSP,2010,Nov,47,3736
CCI,2010,Dec,26,5754
COR,2010,Dec,29,4996
HDSP,2010,Dec,28,4248
KVSP,2010,Dec,48,4671
LAC,2010,Dec,25,4498
PBSP,2010,Dec,15,3221
SAC,2010,Dec,22,2852
SATF,2010,Dec,17,6311
SVSP,2010,Dec,35,3778
CCI,2011,Jan,21,5661
COR,2011,Jan,20,4817
HDSP,2011,Jan,19,4176
KVSP,2011,Jan,33,4669
LAC,2011,Jan,36,4493
PBSP,2011,Jan,14,3222
SAC,2011,Jan,26,2810
SATF,2011,Jan,16,6370
SVSP,2011,Jan,71,3769
CCI,2011,Feb,19,5558
COR,2011,Feb,14,4656
HDSP,2011,Feb,27,4166
KVSP,2011,Feb,33,4664
LAC,2011,Feb,35,4374
PBSP,2011,Feb,7,3165
SAC,2011,Feb,31,2799
SATF,2011,Feb,17,6253
SVSP,2011,Feb,48,3764
CCI,2011,Mar,22,5546
COR,2011,Mar,23,4948
HDSP,2011,Mar,20,4133
KVSP,2011,Mar,35,4637
LAC,2011,Mar,36,4388
PBSP,2011,Mar,26,3182
SAC,2011,Mar,27,2771
SATF,2011,Mar,13,6067
SVSP,2011,Mar,53,3759
CCI,2011,Apr,28,5599
COR,2011,Apr,25,4923
HDSP,2011,Apr,16,4205
KVSP,2011,Apr,24,4613
LAC,2011,Apr,44,4353
PBSP,2011,Apr,22,3155
SAC,2011,Apr,35,2839
SATF,2011,Apr,18,6168
SVSP,2011,Apr,39,3811
CCI,2011,May,31,5729
COR,2011,May,23,4955
HDSP,2011,May,34,4223
KVSP,2011,May,40,4628
LAC,2011,May,36,4320
PBSP,2011,May,20,3082
SAC,2011,May,40,2840
SATF,2011,May,16,6383
SVSP,2011,May,58,3823
CCI,2011,Jun,33,5626
COR,2011,Jun,16,4982
HDSP,2011,Jun,29,4255
KVSP,2011,Jun,46,4680
LAC,2011,Jun,34,4322
PBSP,2011,Jun,20,3134
SAC,2011,Jun,38,2850
SATF,2011,Jun,24,6414
SVSP,2011,Jun,37,3879
CCI,2011,Jul,36,5732
COR,2011,Jul,36,4876
HDSP,2011,Jul,46,4241
KVSP,2011,Jul,48,4718
LAC,2011,Jul,40,4220
PBSP,2011,Jul,21,3212
SAC,2011,Jul,47,2837
SATF,2011,Jul,26,6378
SVSP,2011,Jul,43,3955
CCI,2011,Aug,31,5673
COR,2011,Aug,34,4888
HDSP,2011,Aug,33,4293
KVSP,2011,Aug,48,4699
LAC,2011,Aug,46,4290
PBSP,2011,Aug,9,3262
SAC,2011,Aug,34,2820
SATF,2011,Aug,30,6326
SVSP,2011,Aug,54,3937
CCI,2011,Sep,28,5701
COR,2011,Sep,23,5005
HDSP,2011,Sep,29,4292
KVSP,2011,Sep,36,4684
LAC,2011,Sep,28,4306
PBSP,2011,Sep,10,3272
SAC,2011,Sep,39,2851
SATF,2011,Sep,16,6380
SVSP,2011,Sep,58,3950
CCI,2011,Oct,27,5509
COR,2011,Oct,26,4990
HDSP,2011,Oct,33,4133
KVSP,2011,Oct,43,4629
LAC,2011,Oct,37,4322
PBSP,2011,Oct,12,3228
SAC,2011,Oct,43,2836
SATF,2011,Oct,21,6295
SVSP,2011,Oct,39,3982
CCI,2011,Nov,35,5236
COR,2011,Nov,28,4817
HDSP,2011,Nov,25,4057
KVSP,2011,Nov,26,4437
LAC,2011,Nov,40,3937
PBSP,2011,Nov,18,3215
SAC,2011,Nov,36,2827
SATF,2011,Nov,16,6094
SVSP,2011,Nov,55,3944
CCI,2011,Dec,27,5089
COR,2011,Dec,29,4797
HDSP,2011,Dec,20,4082
KVSP,2011,Dec,21,4368
LAC,2011,Dec,37,3851
PBSP,2011,Dec,22,3165
SAC,2011,Dec,30,2847
SATF,2011,Dec,17,6016
SVSP,2011,Dec,45,3955
CCI,2012,Jan,20,4599
COR,2012,Jan,24,4566
HDSP,2012,Jan,34,3955
KVSP,2012,Jan,34,4336
LAC,2012,Jan,31,3583
PBSP,2012,Jan,26,3076
SAC,2012,Jan,33,2891
SATF,2012,Jan,16,5918
SVSP,2012,Jan,55,3934
CCI,2012,Feb,10,4659
COR,2012,Feb,22,4430
HDSP,2012,Feb,33,3874
KVSP,2012,Feb,35,4210
LAC,2012,Feb,35,3727
PBSP,2012,Feb,18,3076
SAC,2012,Feb,23,2811
SATF,2012,Feb,18,5813
SVSP,2012,Feb,45,3741
CCI,2012,Mar,20,4728
COR,2012,Mar,25,4504
HDSP,2012,Mar,18,3786
KVSP,2012,Mar,34,4174
LAC,2012,Mar,36,3894
PBSP,2012,Mar,19,3091
SAC,2012,Mar,33,2786
SATF,2012,Mar,23,5770
SVSP,2012,Mar,48,3532
CCI,2012,Apr,12,4636
COR,2012,Apr,29,4558
HDSP,2012,Apr,32,3722
KVSP,2012,Apr,38,4179
LAC,2012,Apr,31,3936
PBSP,2012,Apr,13,3078
SAC,2012,Apr,40,2750
SATF,2012,Apr,20,5712
SVSP,2012,Apr,40,3538
CCI,2012,May,15,4557
COR,2012,May,36,4658
HDSP,2012,May,39,3754
KVSP,2012,May,30,4196
LAC,2012,May,46,3950
PBSP,2012,May,22,3113
SAC,2012,May,26,2700
SATF,2012,May,10,5632
SVSP,2012,May,52,3534
CCI,2012,Jun,18,4607
COR,2012,Jun,26,4657
HDSP,2012,Jun,30,3734
KVSP,2012,Jun,35,4186
LAC,2012,Jun,36,3938
PBSP,2012,Jun,28,3177
SAC,2012,Jun,53,2720
SATF,2012,Jun,13,5550
SVSP,2012,Jun,49,3560
CCI,2012,Jul,27,4685
COR,2012,Jul,28,4743
HDSP,2012,Jul,28,3729
KVSP,2012,Jul,53,4149
LAC,2012,Jul,39,3955
PBSP,2012,Jul,19,3153
SAC,2012,Jul,33,2684
SATF,2012,Jul,14,5531
SVSP,2012,Jul,40,3547
CCI,2012,Aug,15,4764
COR,2012,Aug,33,4706
HDSP,2012,Aug,18,3684
KVSP,2012,Aug,48,4082
LAC,2012,Aug,28,3919
PBSP,2012,Aug,19,3139
SAC,2012,Aug,34,2654
SATF,2012,Aug,14,5536
SVSP,2012,Aug,37,3572
CCI,2012,Sep,25,4768
COR,2012,Sep,27,4729
HDSP,2012,Sep,12,3614
KVSP,2012,Sep,34,3977
