,Institution,Year,Month,Use of Force
921,CMF,2016,Jun,18
922,COR,2016,Jun,32
923,CRC,2016,Jun,4
924,CTF,2016,Jun,3
925,CVSP,2016,Jun,2
926,DVI,2016,Jun,6
927,FSP,2016,Jun,5
928,HDSP,2016,Jun,14
929,ISP,2016,Jun,11
930,KVSP,2016,Jun,42
931,LAC,2016,Jun,36
932,MCSP,2016,Jun,19
933,NKSP,2016,Jun,27
934,PBSP,2016,Jun,20
935,PVSP,2016,Jun,8
936,RJD,2016,Jun,24
937,SAC,2016,Jun,65
938,SATF,2016,Jun,11
939,SCC,2016,Jun,6
940,SOL,2016,Jun,7
941,SQ,2016,Jun,14
942,SVSP,2016,Jun,42
943,VSPW,2016,Jun,3
944,WSP,2016,Jun,24
945,ASP,2017,Jun,5
946,CAC,2017,Jun,0
947,CAL,2017,Jun,32
948,CCC,2017,Jun,9
949,CCI,2017,Jun,38
950,CCWF,2017,Jun,22
951,CEN,2017,Jun,17
952,CHCF,2017,Jun,23
953,CIM,2017,Jun,5
954,CIW,2017,Jun,14
955,CMC,2017,Jun,11
956,CMF,2017,Jun,16
957,COR,2017,Jun,39
958,CRC,2017,Jun,5
959,CTF,2017,Jun,2
960,CVSP,2017,Jun,0
961,DVI,2017,Jun,7
962,FSP,2017,Jun,6
963,HDSP,2017,Jun,29
964,ISP,2017,Jun,5
965,KVSP,2017,Jun,47
966,LAC,2017,Jun,30
967,MCSP,2017,Jun,15
968,NKSP,2017,Jun,23
969,PBSP,2017,Jun,6
970,PVSP,2017,Jun,8
971,RJD,2017,Jun,22
972,SAC,2017,Jun,42
973,SATF,2017,Jun,18
974,SCC,2017,Jun,1
975,SOL,2017,Jun,5
976,SQ,2017,Jun,12
977,SVSP,2017,Jun,42
978,VSPW,2017,Jun,1
979,WSP,2017,Jun,17
980,ASP,2018,Jun,3
981,CAC,2018,Jun,0
982,CAL,2018,Jun,5
983,CCC,2018,Jun,9
984,CCI,2018,Jun,28
985,CCWF,2018,Jun,32
986,CEN,2018,Jun,10
987,CHCF,2018,Jun,24
988,CIM,2018,Jun,9
989,CIW,2018,Jun,14
990,CMC,2018,Jun,10
991,CMF,2018,Jun,16
992,COR,2018,Jun,46
993,CRC,2018,Jun,2
994,CTF,2018,Jun,5
995,CVSP,2018,Jun,1
996,DVI,2018,Jun,11
997,FSP,2018,Jun,7
998,HDSP,2018,Jun,28
999,ISP,2018,Jun,5
1000,KVSP,2018,Jun,79
1001,LAC,2018,Jun,41
1002,MCSP,2018,Jun,24
1003,NKSP,2018,Jun,14
1004,PBSP,2018,Jun,11
1005,PVSP,2018,Jun,8
1006,RJD,2018,Jun,32
1007,SAC,2018,Jun,48
1008,SATF,2018,Jun,15
1009,SCC,2018,Jun,5
1010,SOL,2018,Jun,13
1011,SQ,2018,Jun,17
1012,SVSP,2018,Jun,38
1013,VSPW,2018,Jun,1
1014,WSP,2018,Jun,21
1015,ASP,2019,Jun,10
1016,CAC,2019,Jun,1
1017,CAL,2019,Jun,20
1018,CCC,2019,Jun,20
1019,CCI,2019,Jun,47
1020,CCWF,2019,Jun,28
1021,CEN,2019,Jun,3
1022,CHCF,2019,Jun,25
1023,CIM,2019,Jun,9
1024,CIW,2019,Jun,13
1025,CMC,2019,Jun,3
1026,CMF,2019,Jun,26
1027,COR,2019,Jun,62
1028,CRC,2019,Jun,13
1029,CTF,2019,Jun,2
1030,CVSP,2019,Jun,5
1031,DVI,2019,Jun,14
1032,FSP,2019,Jun,9
1033,HDSP,2019,Jun,23
1034,ISP,2019,Jun,6
1035,KVSP,2019,Jun,69
1036,LAC,2019,Jun,41
1037,MCSP,2019,Jun,15
1038,NKSP,2019,Jun,20
1039,PBSP,2019,Jun,7
1040,PVSP,2019,Jun,22
1041,RJD,2019,Jun,11
1042,SAC,2019,Jun,63
1043,SATF,2019,Jun,17
1044,SCC,2019,Jun,22
1045,SOL,2019,Jun,15
1046,SQ,2019,Jun,13
1047,SVSP,2019,Jun,59
1048,VSPW,2019,Jun,5
1049,WSP,2019,Jun,34
1050,ASP,2015,Jul,6
1051,CAC,2015,Jul,1
1052,CAL,2015,Jul,28
1053,CCC,2015,Jul,11
1054,CCI,2015,Jul,17
1055,CCWF,2015,Jul,15
1056,CEN,2015,Jul,8
1057,CHCF,2015,Jul,13
1058,CIM,2015,Jul,10
1059,CIW,2015,Jul,12
1060,CMC,2015,Jul,9
1061,CMF,2015,Jul,21
1062,COR,2015,Jul,38
1063,CRC,2015,Jul,2
1064,CTF,2015,Jul,3
1065,CVSP,2015,Jul,1
1066,DVI,2015,Jul,12
1067,FSP,2015,Jul,2
1068,HDSP,2015,Jul,21
1069,ISP,2015,Jul,1
1070,KVSP,2015,Jul,34
1071,LAC,2015,Jul,45
1072,MCSP,2015,Jul,24
1073,NKSP,2015,Jul,24
1074,PBSP,2015,Jul,13
1075,PVSP,2015,Jul,7
1076,RJD,2015,Jul,18
1077,SAC,2015,Jul,54
1078,SATF,2015,Jul,35
1079,SCC,2015,Jul,3
1080,SOL,2015,Jul,10
1081,SQ,2015,Jul,5
1082,SVSP,2015,Jul,37
1083,VSPW,2015,Jul,2
1084,WSP,2015,Jul,11
1085,ASP,2016,Jul,1
1086,CAC,2016,Jul,2
1087,CAL,2016,Jul,16
1088,CCC,2016,Jul,10
1089,CCI,2016,Jul,28
1090,CCWF,2016,Jul,23
1091,CEN,2016,Jul,9
1092,CHCF,2016,Jul,24
1093,CIM,2016,Jul,7
1094,CIW,2016,Jul,14
1095,CMC,2016,Jul,20
1096,CMF,2016,Jul,11
1097,COR,2016,Jul,26
1098,CRC,2016,Jul,6
1099,CTF,2016,Jul,3
1100,CVSP,2016,Jul,0
1101,DVI,2016,Jul,8
1102,FSP,2016,Jul,4
1103,HDSP,2016,Jul,22
1104,ISP,2016,Jul,6
1105,KVSP,2016,Jul,42
1106,LAC,2016,Jul,39
1107,MCSP,2016,Jul,20
1108,NKSP,2016,Jul,18
1109,PBSP,2016,Jul,11
1110,PVSP,2016,Jul,8
1111,RJD,2016,Jul,16
1112,SAC,2016,Jul,42
1113,SATF,2016,Jul,10
1114,SCC,2016,Jul,9
1115,SOL,2016,Jul,14
1116,SQ,2016,Jul,21
1117,SVSP,2016,Jul,49
1118,VSPW,2016,Jul,3
1119,WSP,2016,Jul,23
1120,ASP,2017,Jul,2
1121,CAC,2017,Jul,4
1122,CAL,2017,Jul,20
1123,CCC,2017,Jul,9
1124,CCI,2017,Jul,32
1125,CCWF,2017,Jul,31
1126,CEN,2017,Jul,12
1127,CHCF,2017,Jul,23
1128,CIM,2017,Jul,7
1129,CIW,2017,Jul,12
1130,CMC,2017,Jul,19
1131,CMF,2017,Jul,9
1132,COR,2017,Jul,41
1133,CRC,2017,Jul,6
1134,CTF,2017,Jul,1
1135,CVSP,2017,Jul,2
1136,DVI,2017,Jul,17
1137,FSP,2017,Jul,8
1138,HDSP,2017,Jul,18
1139,ISP,2017,Jul,5
1140,KVSP,2017,Jul,49
1141,LAC,2017,Jul,48
1142,MCSP,2017,Jul,20
1143,NKSP,2017,Jul,11
1144,PBSP,2017,Jul,3
1145,PVSP,2017,Jul,6
1146,RJD,2017,Jul,25
1147,SAC,2017,Jul,54
1148,SATF,2017,Jul,16
1149,SCC,2017,Jul,1
1150,SOL,2017,Jul,13
1151,SQ,2017,Jul,12
1152,SVSP,2017,Jul,35
1153,VSPW,2017,Jul,4
1154,WSP,2017,Jul,21
1155,ASP,2018,Jul,2
1156,CAC,2018,Jul,3
1157,CAL,2018,Jul,22
1158,CCC,2018,Jul,9
1159,CCI,2018,Jul,31
1160,CCWF,2018,Jul,29
1161,CEN,2018,Jul,12
1162,CHCF,2018,Jul,32
1163,CIM,2018,Jul,8
1164,CIW,2018,Jul,14
1165,CMC,2018,Jul,6
1166,CMF,2018,Jul,8
1167,COR,2018,Jul,62
1168,CRC,2018,Jul,8
1169,CTF,2018,Jul,0
1170,CVSP,2018,Jul,6
1171,DVI,2018,Jul,15
1172,FSP,2018,Jul,5
1173,HDSP,2018,Jul,27
1174,ISP,2018,Jul,11
1175,KVSP,2018,Jul,78
1176,LAC,2018,Jul,51
1177,MCSP,2018,Jul,33
1178,NKSP,2018,Jul,17
1179,PBSP,2018,Jul,9
1180,PVSP,2018,Jul,7
1181,RJD,2018,Jul,25
1182,SAC,2018,Jul,22
1183,SATF,2018,Jul,25
1184,SCC,2018,Jul,5
1185,SOL,2018,Jul,15
1186,SQ,2018,Jul,23
1187,SVSP,2018,Jul,44
1188,VSPW,2018,Jul,5
1189,WSP,2018,Jul,35
1190,ASP,2019,Jul,5
1191,CAC,2019,Jul,4
1192,CAL,2019,Jul,24
1193,CCC,2019,Jul,19
1194,CCI,2019,Jul,26
1195,CCWF,2019,Jul,33
1196,CEN,2019,Jul,10
1197,CHCF,2019,Jul,20
1198,CIM,2019,Jul,6
1199,CIW,2019,Jul,11
1200,CMC,2019,Jul,13
1201,CMF,2019,Jul,18
1202,COR,2019,Jul,52
1203,CRC,2019,Jul,9
1204,CTF,2019,Jul,6
1205,CVSP,2019,Jul,8
1206,DVI,2019,Jul,11
1207,FSP,2019,Jul,17
1208,HDSP,2019,Jul,26
1209,ISP,2019,Jul,13
1210,KVSP,2019,Jul,52
1211,LAC,2019,Jul,63
1212,MCSP,2019,Jul,21
1213,NKSP,2019,Jul,33
1214,PBSP,2019,Jul,15
1215,PVSP,2019,Jul,13
1216,RJD,2019,Jul,21
1217,SAC,2019,Jul,69
1218,SATF,2019,Jul,20
1219,SCC,2019,Jul,20
1220,SOL,2019,Jul,15
1221,SQ,2019,Jul,10
1222,SVSP,2019,Jul,54
1223,VSPW,2019,Jul,2
1224,WSP,2019,Jul,23
1225,ASP,2015,Aug,1
1226,CAC,2015,Aug,1
1227,CAL,2015,Aug,29
1228,CCC,2015,Aug,7
1229,CCI,2015,Aug,12
1230,CCWF,2015,Aug,9
1231,CEN,2015,Aug,12
1232,CHCF,2015,Aug,26
1233,CIM,2015,Aug,7
1234,CIW,2015,Aug,9
1235,CMC,2015,Aug,8
1236,CMF,2015,Aug,26
1237,COR,2015,Aug,14
1238,CRC,2015,Aug,3
1239,CTF,2015,Aug,4
1240,CVSP,2015,Aug,1
1241,DVI,2015,Aug,11
1242,FSP,2015,Aug,7
1243,HDSP,2015,Aug,28
1244,ISP,2015,Aug,13
1245,KVSP,2015,Aug,33
1246,LAC,2015,Aug,44
1247,MCSP,2015,Aug,22
1248,NKSP,2015,Aug,19
1249,PBSP,2015,Aug,5
1250,PVSP,2015,Aug,6
1251,RJD,2015,Aug,26
1252,SAC,2015,Aug,46
1253,SATF,2015,Aug,20
1254,SCC,2015,Aug,4
1255,SOL,2015,Aug,8
1256,SQ,2015,Aug,16
1257,SVSP,2015,Aug,41
1258,VSPW,2015,Aug,2
1259,WSP,2015,Aug,21
1260,ASP,2016,Aug,1
1261,CAC,2016,Aug,1
1262,CAL,2016,Aug,22
1263,CCC,2016,Aug,14
1264,CCI,2016,Aug,21
1265,CCWF,2016,Aug,20
1266,CEN,2016,Aug,12
1267,CHCF,2016,Aug,20
1268,CIM,2016,Aug,7
1269,CIW,2016,Aug,13
1270,CMC,2016,Aug,11
1271,CMF,2016,Aug,10
1272,COR,2016,Aug,41
1273,CRC,2016,Aug,4
1274,CTF,2016,Aug,5
1275,CVSP,2016,Aug,0
1276,DVI,2016,Aug,3
1277,FSP,2016,Aug,6
1278,HDSP,2016,Aug,20
1279,ISP,2016,Aug,9
1280,KVSP,2016,Aug,42
1281,LAC,2016,Aug,27
1282,MCSP,2016,Aug,31
1283,NKSP,2016,Aug,11
1284,PBSP,2016,Aug,9
1285,PVSP,2016,Aug,10
1286,RJD,2016,Aug,25
1287,SAC,2016,Aug,46
1288,SATF,2016,Aug,26
1289,SCC,2016,Aug,4
1290,SOL,2016,Aug,11
1291,SQ,2016,Aug,11
1292,SVSP,2016,Aug,45
1293,VSPW,2016,Aug,2
1294,WSP,2016,Aug,20
1295,ASP,2017,Aug,5
1296,CAC,2017,Aug,7
1297,CAL,2017,Aug,26
1298,CCC,2017,Aug,8
1299,CCI,2017,Aug,35
1300,CCWF,2017,Aug,19
1301,CEN,2017,Aug,11
1302,CHCF,2017,Aug,21
1303,CIM,2017,Aug,5
1304,CIW,2017,Aug,14
1305,CMC,2017,Aug,21
1306,CMF,2017,Aug,14
1307,COR,2017,Aug,49
1308,CRC,2017,Aug,4
1309,CTF,2017,Aug,5
1310,CVSP,2017,Aug,3
1311,DVI,2017,Aug,11
1312,FSP,2017,Aug,5
1313,HDSP,2017,Aug,22
1314,ISP,2017,Aug,4
1315,KVSP,2017,Aug,43
1316,LAC,2017,Aug,35
1317,MCSP,2017,Aug,37
1318,NKSP,2017,Aug,16
1319,PBSP,2017,Aug,6
1320,PVSP,2017,Aug,8
1321,RJD,2017,Aug,26
1322,SAC,2017,Aug,53
1323,SATF,2017,Aug,22
1324,SCC,2017,Aug,8
1325,SOL,2017,Aug,10
1326,SQ,2017,Aug,18
1327,SVSP,2017,Aug,37
1328,VSPW,2017,Aug,3
1329,WSP,2017,Aug,13
1330,ASP,2018,Aug,8
1331,CAC,2018,Aug,0
1332,CAL,2018,Aug,18
1333,CCC,2018,Aug,10
1334,CCI,2018,Aug,43
1335,CCWF,2018,Aug,12
1336,CEN,2018,Aug,12
1337,CHCF,2018,Aug,28
1338,CIM,2018,Aug,2
1339,CIW,2018,Aug,21
1340,CMC,2018,Aug,17
1341,CMF,2018,Aug,13
1342,COR,2018,Aug,51
1343,CRC,2018,Aug,5
1344,CTF,2018,Aug,6
1345,CVSP,2018,Aug,5
1346,DVI,2018,Aug,11
1347,FSP,2018,Aug,10
1348,HDSP,2018,Aug,28
1349,ISP,2018,Aug,10
1350,KVSP,2018,Aug,71
1351,LAC,2018,Aug,54
1352,MCSP,2018,Aug,36
1353,NKSP,2018,Aug,17
1354,PBSP,2018,Aug,13
1355,PVSP,2018,Aug,19
1356,RJD,2018,Aug,22
1357,SAC,2018,Aug,52
1358,SATF,2018,Aug,19
1359,SCC,2018,Aug,13
1360,SOL,2018,Aug,9
1361,SQ,2018,Aug,14
1362,SVSP,2018,Aug,49
1363,VSPW,2018,Aug,4
1364,WSP,2018,Aug,18
1365,ASP,2019,Aug,18
1366,CAC,2019,Aug,5
1367,CAL,2019,Aug,23
1368,CCC,2019,Aug,44
1369,CCI,2019,Aug,35
1370,CCWF,2019,Aug,29
1371,CEN,2019,Aug,8
1372,CHCF,2019,Aug,22
1373,CIM,2019,Aug,6
1374,CIW,2019,Aug,10
1375,CMC,2019,Aug,16
1376,CMF,2019,Aug,13
1377,COR,2019,Aug,48
1378,CRC,2019,Aug,8
1379,CTF,2019,Aug,3
1380,CVSP,2019,Aug,2
1381,DVI,2019,Aug,9
1382,FSP,2019,Aug,15
1383,HDSP,2019,Aug,37
1384,ISP,2019,Aug,6
1385,KVSP,2019,Aug,64
1386,LAC,2019,Aug,44
1387,MCSP,2019,Aug,22
1388,NKSP,2019,Aug,22
1389,PBSP,2019,Aug,17
1390,PVSP,2019,Aug,17
1391,RJD,2019,Aug,18
1392,SAC,2019,Aug,62
1393,SATF,2019,Aug,27
1394,SCC,2019,Aug,18
1395,SOL,2019,Aug,16
1396,SQ,2019,Aug,22
1397,SVSP,2019,Aug,43
1398,VSPW,2019,Aug,2
1399,WSP,2019,Aug,42
1400,ASP,2015,Sep,3
1401,CAC,2015,Sep,7
1402,CAL,2015,Sep,37
1403,CCC,2015,Sep,1
1404,CCI,2015,Sep,13
1405,CCWF,2015,Sep,7
1406,CEN,2015,Sep,13
1407,CHCF,2015,Sep,17
1408,CIM,2015,Sep,7
1409,CIW,2015,Sep,23
1410,CMC,2015,Sep,11
1411,CMF,2015,Sep,17
1412,COR,2015,Sep,27
1413,CRC,2015,Sep,4
1414,CTF,2015,Sep,2
1415,CVSP,2015,Sep,2
1416,DVI,2015,Sep,4
1417,FSP,2015,Sep,7
1418,HDSP,2015,Sep,22
1419,ISP,2015,Sep,10
1420,KVSP,2015,Sep,31
1421,LAC,2015,Sep,37
1422,MCSP,2015,Sep,23
1423,NKSP,2015,Sep,31
1424,PBSP,2015,Sep,6
1425,PVSP,2015,Sep,8
1426,RJD,2015,Sep,14
1427,SAC,2015,Sep,48
1428,SATF,2015,Sep,10
1429,SCC,2015,Sep,3
1430,SOL,2015,Sep,14
1431,SQ,2015,Sep,6
1432,SVSP,2015,Sep,34
1433,VSPW,2015,Sep,1
1434,WSP,2015,Sep,17
1435,ASP,2016,Sep,0
1436,CAC,2016,Sep,0
1437,CAL,2016,Sep,18
1438,CCC,2016,Sep,8
1439,CCI,2016,Sep,20
1440,CCWF,2016,Sep,19
1441,CEN,2016,Sep,15
1442,CHCF,2016,Sep,23
1443,CIM,2016,Sep,11
1444,CIW,2016,Sep,16
1445,CMC,2016,Sep,23
1446,CMF,2016,Sep,16
1447,COR,2016,Sep,27
1448,CRC,2016,Sep,5
1449,CTF,2016,Sep,3
1450,CVSP,2016,Sep,0
1451,DVI,2016,Sep,5
1452,FSP,2016,Sep,2
1453,HDSP,2016,Sep,18
1454,ISP,2016,Sep,7
1455,KVSP,2016,Sep,41
1456,LAC,2016,Sep,27
1457,MCSP,2016,Sep,21
1458,NKSP,2016,Sep,17
1459,PBSP,2016,Sep,9
1460,PVSP,2016,Sep,9
1461,RJD,2016,Sep,11
1462,SAC,2016,Sep,42
1463,SATF,2016,Sep,10
1464,SCC,2016,Sep,5
1465,SOL,2016,Sep,4
1466,SQ,2016,Sep,9
1467,SVSP,2016,Sep,53
1468,VSPW,2016,Sep,0
1469,WSP,2016,Sep,17
1470,ASP,2017,Sep,8
1471,CAC,2017,Sep,4
1472,CAL,2017,Sep,23
1473,CCC,2017,Sep,12
1474,CCI,2017,Sep,27
1475,CCWF,2017,Sep,22
1476,CEN,2017,Sep,5
1477,CHCF,2017,Sep,19
1478,CIM,2017,Sep,2
1479,CIW,2017,Sep,6
1480,CMC,2017,Sep,10
1481,CMF,2017,Sep,15
1482,COR,2017,Sep,35
1483,CRC,2017,Sep,1
1484,CTF,2017,Sep,0
1485,CVSP,2017,Sep,0
1486,DVI,2017,Sep,14
1487,FSP,2017,Sep,4
1488,HDSP,2017,Sep,20
1489,ISP,2017,Sep,5
1490,KVSP,2017,Sep,54
1491,LAC,2017,Sep,42
1492,MCSP,2017,Sep,40
1493,NKSP,2017,Sep,10
1494,PBSP,2017,Sep,10
1495,PVSP,2017,Sep,10
1496,RJD,2017,Sep,18
1497,SAC,2017,Sep,39
1498,SATF,2017,Sep,17
1499,SCC,2017,Sep,4
1500,SOL,2017,Sep,9
1501,SQ,2017,Sep,10
1502,SVSP,2017,Sep,35
1503,VSPW,2017,Sep,5
1504,WSP,2017,Sep,16
1505,ASP,2018,Sep,8
1506,CAC,2018,Sep,8
1507,CAL,2018,Sep,19
1508,CCC,2018,Sep,12
1509,CCI,2018,Sep,33
1510,CCWF,2018,Sep,54
1511,CEN,2018,Sep,13
1512,CHCF,2018,Sep,32
1513,CIM,2018,Sep,5
1514,CIW,2018,Sep,9
1515,CMC,2018,Sep,6
1516,CMF,2018,Sep,16
1517,COR,2018,Sep,42
1518,CRC,2018,Sep,9
1519,CTF,2018,Sep,2
1520,CVSP,2018,Sep,4
1521,DVI,2018,Sep,10
1522,FSP,2018,Sep,12
1523,HDSP,2018,Sep,33
1524,ISP,2018,Sep,7
1525,KVSP,2018,Sep,63
1526,LAC,2018,Sep,56
1527,MCSP,2018,Sep,27
1528,NKSP,2018,Sep,22
1529,PBSP,2018,Sep,22
1530,PVSP,2018,Sep,12
1531,RJD,2018,Sep,21
1532,SAC,2018,Sep,43
1533,SATF,2018,Sep,24
1534,SCC,2018,Sep,11
1535,SOL,2018,Sep,16
1536,SQ,2018,Sep,19
1537,SVSP,2018,Sep,62
1538,VSPW,2018,Sep,3
1539,WSP,2018,Sep,16
1540,ASP,2019,Sep,5
1541,CAC,2019,Sep,1
1542,CAL,2019,Sep,21
1543,CCC,2019,Sep,11
1544,CCI,2019,Sep,46
1545,CCWF,2019,Sep,30
1546,CEN,2019,Sep,10
1547,CHCF,2019,Sep,27
1548,CIM,2019,Sep,6
1549,CIW,2019,Sep,12
1550,CMC,2019,Sep,15
1551,CMF,2019,Sep,23
1552,COR,2019,Sep,50
1553,CRC,2019,Sep,8
1554,CTF,2019,Sep,7
1555,CVSP,2019,Sep,4
1556,DVI,2019,Sep,11
1557,FSP,2019,Sep,15
1558,HDSP,2019,Sep,36
1559,ISP,2019,Sep,8
1560,KVSP,2019,Sep,44
1561,LAC,2019,Sep,47
1562,MCSP,2019,Sep,23
1563,NKSP,2019,Sep,21
1564,PBSP,2019,Sep,10
1565,PVSP,2019,Sep,23
1566,RJD,2019,Sep,16
1567,SAC,2019,Sep,62
1568,SATF,2019,Sep,23
1569,SCC,2019,Sep,9
1570,SOL,2019,Sep,20
1571,SQ,2019,Sep,22
1572,SVSP,2019,Sep,57
1573,VSPW,2019,Sep,1
1574,WSP,2019,Sep,31
1575,ASP,2015,Oct,7
1576,CAC,2015,Oct,1
1577,CAL,2015,Oct,17
1578,CCC,2015,Oct,9
1579,CCI,2015,Oct,19
1580,CCWF,2015,Oct,11
1581,CEN,2015,Oct,11
1582,CHCF,2015,Oct,22
1583,CIM,2015,Oct,8
1584,CIW,2015,Oct,15
1585,CMC,2015,Oct,13
1586,CMF,2015,Oct,12
1587,COR,2015,Oct,39
1588,CRC,2015,Oct,4
1589,CTF,2015,Oct,6
1590,CVSP,2015,Oct,0
1591,DVI,2015,Oct,11
1592,FSP,2015,Oct,8
1593,HDSP,2015,Oct,17
1594,ISP,2015,Oct,9
1595,KVSP,2015,Oct,33
1596,LAC,2015,Oct,34
1597,MCSP,2015,Oct,16
1598,NKSP,2015,Oct,19
1599,PBSP,2015,Oct,7
1600,PVSP,2015,Oct,7
1601,RJD,2015,Oct,14
1602,SAC,2015,Oct,62
1603,SATF,2015,Oct,16
1604,SCC,2015,Oct,5
1605,SOL,2015,Oct,14
1606,SQ,2015,Oct,10
1607,SVSP,2015,Oct,41
1608,VSPW,2015,Oct,3
1609,WSP,2015,Oct,22
1610,ASP,2016,Oct,5
1611,CAC,2016,Oct,0
1612,CAL,2016,Oct,17
1613,CCC,2016,Oct,8
1614,CCI,2016,Oct,22
1615,CCWF,2016,Oct,13
1616,CEN,2016,Oct,17
1617,CHCF,2016,Oct,23
1618,CIM,2016,Oct,5
1619,CIW,2016,Oct,8
1620,CMC,2016,Oct,24
1621,CMF,2016,Oct,10
1622,COR,2016,Oct,36
1623,CRC,2016,Oct,2
1624,CTF,2016,Oct,2
1625,CVSP,2016,Oct,1
1626,DVI,2016,Oct,5
1627,FSP,2016,Oct,5
1628,HDSP,2016,Oct,16
1629,ISP,2016,Oct,6
1630,KVSP,2016,Oct,40
1631,LAC,2016,Oct,34
1632,MCSP,2016,Oct,20
1633,NKSP,2016,Oct,22
1634,PBSP,2016,Oct,12
1635,PVSP,2016,Oct,6
1636,RJD,2016,Oct,25
1637,SAC,2016,Oct,33
1638,SATF,2016,Oct,17
1639,SCC,2016,Oct,2
1640,SOL,2016,Oct,12
1641,SQ,2016,Oct,15
1642,SVSP,2016,Oct,48
1643,VSPW,2016,Oct,5
1644,WSP,2016,Oct,19
1645,ASP,2017,Oct,3
1646,CAC,2017,Oct,6
1647,CAL,2017,Oct,20
1648,CCC,2017,Oct,7
1649,CCI,2017,Oct,26
1650,CCWF,2017,Oct,23
1651,CEN,2017,Oct,11
1652,CHCF,2017,Oct,31
1653,CIM,2017,Oct,9
1654,CIW,2017,Oct,3
1655,CMC,2017,Oct,6
1656,CMF,2017,Oct,17
1657,COR,2017,Oct,43
1658,CRC,2017,Oct,2
1659,CTF,2017,Oct,0
1660,CVSP,2017,Oct,0
1661,DVI,2017,Oct,14
1662,FSP,2017,Oct,3
1663,HDSP,2017,Oct,31
1664,ISP,2017,Oct,6
1665,KVSP,2017,Oct,27
1666,LAC,2017,Oct,44
1667,MCSP,2017,Oct,26
1668,NKSP,2017,Oct,18
1669,PBSP,2017,Oct,19
1670,PVSP,2017,Oct,7
1671,RJD,2017,Oct,28
1672,SAC,2017,Oct,33
1673,SATF,2017,Oct,11
1674,SCC,2017,Oct,7
1675,SOL,2017,Oct,9
1676,SQ,2017,Oct,9
1677,SVSP,2017,Oct,36
1678,VSPW,2017,Oct,4
1679,WSP,2017,Oct,12
1680,ASP,2018,Oct,7
1681,CAC,2018,Oct,1
1682,CAL,2018,Oct,14
1683,CCC,2018,Oct,7
1684,CCI,2018,Oct,61
1685,CCWF,2018,Oct,42
1686,CEN,2018,Oct,9
1687,CHCF,2018,Oct,32
1688,CIM,2018,Oct,5
1689,CIW,2018,Oct,19
1690,CMC,2018,Oct,10
1691,CMF,2018,Oct,22
1692,COR,2018,Oct,49
1693,CRC,2018,Oct,8
1694,CTF,2018,Oct,5
1695,CVSP,2018,Oct,2
1696,DVI,2018,Oct,10
1697,FSP,2018,Oct,9
1698,HDSP,2018,Oct,33
1699,ISP,2018,Oct,3
1700,KVSP,2018,Oct,67
1701,LAC,2018,Oct,47
1702,MCSP,2018,Oct,29
1703,NKSP,2018,Oct,16
1704,PBSP,2018,Oct,17
1705,PVSP,2018,Oct,9
1706,RJD,2018,Oct,19
1707,SAC,2018,Oct,52
1708,SATF,2018,Oct,18
1709,SCC,2018,Oct,4
1710,SOL,2018,Oct,9
1711,SQ,2018,Oct,18
1712,SVSP,2018,Oct,55
1713,VSPW,2018,Oct,4
1714,WSP,2018,Oct,28
1715,ASP,2019,Oct,11
1716,CAC,2019,Oct,5
1717,CAL,2019,Oct,16
1718,CCC,2019,Oct,16
1719,CCI,2019,Oct,27
1720,CCWF,2019,Oct,33
1721,CEN,2019,Oct,17
1722,CHCF,2019,Oct,23
1723,CIM,2019,Oct,4
1724,CIW,2019,Oct,6
1725,CMC,2019,Oct,13
1726,CMF,2019,Oct,26
1727,COR,2019,Oct,41
1728,CRC,2019,Oct,7
1729,CTF,2019,Oct,4
1730,CVSP,2019,Oct,6
1731,DVI,2019,Oct,7
1732,FSP,2019,Oct,7
1733,HDSP,2019,Oct,34
1734,ISP,2019,Oct,16
1735,KVSP,2019,Oct,57
1736,LAC,2019,Oct,48
1737,MCSP,2019,Oct,19
1738,NKSP,2019,Oct,35
1739,PBSP,2019,Oct,10
1740,PVSP,2019,Oct,17
1741,RJD,2019,Oct,15
1742,SAC,2019,Oct,72
1743,SATF,2019,Oct,20
1744,SCC,2019,Oct,10
1745,SOL,2019,Oct,19
1746,SQ,2019,Oct,18
1747,SVSP,2019,Oct,30
1748,VSPW,2019,Oct,2
1749,WSP,2019,Oct,29
1750,ASP,2015,Nov,4
1751,CAC,2015,Nov,0
1752,CAL,2015,Nov,19
1753,CCC,2015,Nov,9
1754,CCI,2015,Nov,7
1755,CCWF,2015,Nov,11
1756,CEN,2015,Nov,7
1757,CHCF,2015,Nov,25
1758,CIM,2015,Nov,9
1759,CIW,2015,Nov,14
1760,CMC,2015,Nov,10
1761,CMF,2015,Nov,3
1762,COR,2015,Nov,34
1763,CRC,2015,Nov,5
1764,CTF,2015,Nov,2
1765,CVSP,2015,Nov,0
1766,DVI,2015,Nov,9
1767,FSP,2015,Nov,1
1768,HDSP,2015,Nov,23
1769,ISP,2015,Nov,9
1770,KVSP,2015,Nov,24
1771,LAC,2015,Nov,43
1772,MCSP,2015,Nov,25
1773,NKSP,2015,Nov,17
1774,PBSP,2015,Nov,8
1775,PVSP,2015,Nov,10
1776,RJD,2015,Nov,9
1777,SAC,2015,Nov,33
1778,SATF,2015,Nov,10
1779,SCC,2015,Nov,5
1780,SOL,2015,Nov,8
1781,SQ,2015,Nov,12
1782,SVSP,2015,Nov,40
1783,VSPW,2015,Nov,1
