Institution,Year,Month,Inmate Count
ASP,2015,Jan,4064
CAL,2015,Jan,3747
CCC,2015,Jan,4462
CCI,2015,Jan,4189
CEN,2015,Jan,3215
CHCF,2015,Jan,1951
CIM,2015,Jan,4278
CMC,2015,Jan,4037
CMF,2015,Jan,2129
COR,2015,Jan,4077
CRC,2015,Jan,2473
CTF,2015,Jan,4592
CVSP,2015,Jan,2222
DVI,2015,Jan,2372
FOL,2015,Jan,2499
HDSP,2015,Jan,3494
ISP,2015,Jan,3095
KVSP,2015,Jan,3774
LAC,2015,Jan,3512
MCSP,2015,Jan,2838
NKSP,2015,Jan,4121
PBSP,2015,Jan,2631
PVSP,2015,Jan,3232
RJD,2015,Jan,3063
SAC,2015,Jan,2177
SATF,2015,Jan,5370
SCC,2015,Jan,4372
SOL,2015,Jan,3889
SQ,2015,Jan,4096
SVSP,2015,Jan,3592
VSP,2015,Jan,3112
WSP,2015,Jan,4859
ASP,2015,Feb,3992
CAL,2015,Feb,3726
CCC,2015,Feb,4344
CCI,2015,Feb,4250
CEN,2015,Feb,3255
CHCF,2015,Feb,1943
CIM,2015,Feb,4150
CMC,2015,Feb,3950
CMF,2015,Feb,2114
COR,2015,Feb,4000
CRC,2015,Feb,2483
CTF,2015,Feb,4628
CVSP,2015,Feb,2132
DVI,2015,Feb,2400
FOL,2015,Feb,2447
HDSP,2015,Feb,3478
ISP,2015,Feb,3179
KVSP,2015,Feb,3707
LAC,2015,Feb,3481
MCSP,2015,Feb,2843
NKSP,2015,Feb,4031
PBSP,2015,Feb,2630
PVSP,2015,Feb,3216
RJD,2015,Feb,3017
SAC,2015,Feb,2181
SATF,2015,Feb,5401
SCC,2015,Feb,4369
SOL,2015,Feb,3877
SQ,2015,Feb,3954
SVSP,2015,Feb,3583
VSP,2015,Feb,3026
WSP,2015,Feb,4966
ASP,2015,Mar,3853
CAL,2015,Mar,3668
CCC,2015,Mar,4241
CCI,2015,Mar,4086
CEN,2015,Mar,3321
CHCF,2015,Mar,1945
CIM,2015,Mar,4049
CMC,2015,Mar,3885
CMF,2015,Mar,2123
COR,2015,Mar,4093
CRC,2015,Mar,2455
CTF,2015,Mar,4661
CVSP,2015,Mar,2223
DVI,2015,Mar,2354
FOL,2015,Mar,2414
HDSP,2015,Mar,3391
ISP,2015,Mar,3142
KVSP,2015,Mar,3732
LAC,2015,Mar,3486
MCSP,2015,Mar,2835
NKSP,2015,Mar,4214
PBSP,2015,Mar,2626
PVSP,2015,Mar,3157
RJD,2015,Mar,3015
SAC,2015,Mar,2228
SATF,2015,Mar,5416
SCC,2015,Mar,4303
SOL,2015,Mar,3810
SQ,2015,Mar,3897
SVSP,2015,Mar,3574
VSP,2015,Mar,3023
WSP,2015,Mar,4958
ASP,2015,Apr,3374
CAL,2015,Apr,3653
CCC,2015,Apr,4124
CCI,2015,Apr,3838
CEN,2015,Apr,3357
CHCF,2015,Apr,1941
CIM,2015,Apr,4045
CMC,2015,Apr,3886
CMF,2015,Apr,2151
COR,2015,Apr,4324
CRC,2015,Apr,2422
CTF,2015,Apr,4893
CVSP,2015,Apr,2233
DVI,2015,Apr,2260
FOL,2015,Apr,2392
HDSP,2015,Apr,3319
ISP,2015,Apr,3107
KVSP,2015,Apr,3747
LAC,2015,Apr,3473
MCSP,2015,Apr,2866
NKSP,2015,Apr,4356
PBSP,2015,Apr,2680
PVSP,2015,Apr,2723
RJD,2015,Apr,3032
SAC,2015,Apr,2225
SATF,2015,Apr,5515
SCC,2015,Apr,4270
SOL,2015,Apr,3835
SQ,2015,Apr,3898
SVSP,2015,Apr,3670
VSP,2015,Apr,3158
WSP,2015,Apr,4934
ASP,2015,May,3005
CAL,2015,May,3728
CCC,2015,May,4142
CCI,2015,May,3818
CEN,2015,May,3488
CHCF,2015,May,1912
CIM,2015,May,3927
CMC,2015,May,3890
