Institution,Year,Month,Use of Force
SQ,2015,Jun,12
SVSP,2015,Jun,29
VSPW,2015,Jun,1
WSP,2015,Jun,27
ASP,2016,Jun,0
CAC,2016,Jun,1
CAL,2016,Jun,20
CCC,2016,Jun,13
CCI,2016,Jun,15
CCWF,2016,Jun,13
CEN,2016,Jun,18
CHCF,2016,Jun,25
CIM,2016,Jun,9
CIW,2016,Jun,15
CMC,2016,Jun,13
CMF,2016,Jun,18
COR,2016,Jun,32
CRC,2016,Jun,4
CTF,2016,Jun,3
CVSP,2016,Jun,2
DVI,2016,Jun,6
FSP,2016,Jun,5
HDSP,2016,Jun,14
ISP,2016,Jun,11
KVSP,2016,Jun,42
LAC,2016,Jun,36
MCSP,2016,Jun,19
NKSP,2016,Jun,27
PBSP,2016,Jun,20
PVSP,2016,Jun,8
RJD,2016,Jun,24
SAC,2016,Jun,65
SATF,2016,Jun,11
SCC,2016,Jun,6
SOL,2016,Jun,7
SQ,2016,Jun,14
SVSP,2016,Jun,42
VSPW,2016,Jun,3
WSP,2016,Jun,24
ASP,2017,Jun,5
CAC,2017,Jun,0
CAL,2017,Jun,32
CCC,2017,Jun,9
CCI,2017,Jun,38
CCWF,2017,Jun,22
CEN,2017,Jun,17
CHCF,2017,Jun,23
CIM,2017,Jun,5
CIW,2017,Jun,14
CMC,2017,Jun,11
CMF,2017,Jun,16
COR,2017,Jun,39
CRC,2017,Jun,5
CTF,2017,Jun,2
CVSP,2017,Jun,0
DVI,2017,Jun,7
FSP,2017,Jun,6
HDSP,2017,Jun,29
ISP,2017,Jun,5
KVSP,2017,Jun,47
LAC,2017,Jun,30
MCSP,2017,Jun,15
NKSP,2017,Jun,23
PBSP,2017,Jun,6
PVSP,2017,Jun,8
RJD,2017,Jun,22
SAC,2017,Jun,42
SATF,2017,Jun,18
SCC,2017,Jun,1
SOL,2017,Jun,5
SQ,2017,Jun,12
SVSP,2017,Jun,42
VSPW,2017,Jun,1
WSP,2017,Jun,17
ASP,2018,Jun,3
CAC,2018,Jun,0
CAL,2018,Jun,5
CCC,2018,Jun,9
CCI,2018,Jun,28
CCWF,2018,Jun,32
CEN,2018,Jun,10
CHCF,2018,Jun,24
CIM,2018,Jun,9
CIW,2018,Jun,14
CMC,2018,Jun,10
CMF,2018,Jun,16
COR,2018,Jun,46
CRC,2018,Jun,2
CTF,2018,Jun,5
CVSP,2018,Jun,1
DVI,2018,Jun,11
FSP,2018,Jun,7
HDSP,2018,Jun,28
ISP,2018,Jun,5
KVSP,2018,Jun,79
LAC,2018,Jun,41
MCSP,2018,Jun,24
NKSP,2018,Jun,14
PBSP,2018,Jun,11
PVSP,2018,Jun,8
RJD,2018,Jun,32
SAC,2018,Jun,48
SATF,2018,Jun,15
SCC,2018,Jun,5
SOL,2018,Jun,13
SQ,2018,Jun,17
SVSP,2018,Jun,38
VSPW,2018,Jun,1
WSP,2018,Jun,21
ASP,2019,Jun,10
CAC,2019,Jun,1
CAL,2019,Jun,20
CCC,2019,Jun,20
CCI,2019,Jun,47
CCWF,2019,Jun,28
CEN,2019,Jun,3
CHCF,2019,Jun,25
CIM,2019,Jun,9
CIW,2019,Jun,13
CMC,2019,Jun,3
CMF,2019,Jun,26
COR,2019,Jun,62
CRC,2019,Jun,13
CTF,2019,Jun,2
CVSP,2019,Jun,5
DVI,2019,Jun,14
FSP,2019,Jun,9
HDSP,2019,Jun,23
ISP,2019,Jun,6
KVSP,2019,Jun,69
LAC,2019,Jun,41
MCSP,2019,Jun,15
NKSP,2019,Jun,20
PBSP,2019,Jun,7
PVSP,2019,Jun,22
RJD,2019,Jun,11
SAC,2019,Jun,63
SATF,2019,Jun,17
SCC,2019,Jun,22
SOL,2019,Jun,15
SQ,2019,Jun,13
SVSP,2019,Jun,59
VSPW,2019,Jun,5
WSP,2019,Jun,34
ASP,2020,Jun,3
CAC,2020,Jun,8
CAL,2020,Jun,6
CCC,2020,Jun,4
CCI,2020,Jun,53
CCWF,2020,Jun,28
CEN,2020,Jun,3
CHCF,2020,Jun,18
CIM,2020,Jun,5
CIW,2020,Jun,6
CMC,2020,Jun,6
CMF,2020,Jun,15
COR,2020,Jun,23
CRC,2020,Jun,7
CTF,2020,Jun,2
CVSP,2020,Jun,0
DVI,2020,Jun,5
FSP,2020,Jun,9
HDSP,2020,Jun,33
ISP,2020,Jun,12
KVSP,2020,Jun,40
LAC,2020,Jun,22
MCSP,2020,Jun,14
NKSP,2020,Jun,10
PBSP,2020,Jun,8
PVSP,2020,Jun,9
RJD,2020,Jun,20
SAC,2020,Jun,54
SATF,2020,Jun,25
SCC,2020,Jun,14
SOL,2020,Jun,7
SQ,2020,Jun,5
SVSP,2020,Jun,51
VSPW,2020,Jun,4
WSP,2020,Jun,14
ASP,2015,Jul,6
CAC,2015,Jul,1
CAL,2015,Jul,28
CCC,2015,Jul,11
CCI,2015,Jul,17
CCWF,2015,Jul,15
CEN,2015,Jul,8
CHCF,2015,Jul,13
CIM,2015,Jul,10
CIW,2015,Jul,12
CMC,2015,Jul,9
CMF,2015,Jul,21
COR,2015,Jul,38
CRC,2015,Jul,2
CTF,2015,Jul,3
CVSP,2015,Jul,1
DVI,2015,Jul,12
FSP,2015,Jul,2
HDSP,2015,Jul,21
ISP,2015,Jul,1
KVSP,2015,Jul,34
LAC,2015,Jul,45
MCSP,2015,Jul,24
NKSP,2015,Jul,24
PBSP,2015,Jul,13
PVSP,2015,Jul,7
RJD,2015,Jul,18
SAC,2015,Jul,54
SATF,2015,Jul,35
SCC,2015,Jul,3
SOL,2015,Jul,10
SQ,2015,Jul,5
SVSP,2015,Jul,37
VSPW,2015,Jul,2
WSP,2015,Jul,11
ASP,2016,Jul,1
CAC,2016,Jul,2
CAL,2016,Jul,16
CCC,2016,Jul,10
CCI,2016,Jul,28
CCWF,2016,Jul,23
CEN,2016,Jul,9
CHCF,2016,Jul,24
CIM,2016,Jul,7
CIW,2016,Jul,14
CMC,2016,Jul,20
CMF,2016,Jul,11
COR,2016,Jul,26
CRC,2016,Jul,6
CTF,2016,Jul,3
CVSP,2016,Jul,0
DVI,2016,Jul,8
FSP,2016,Jul,4
HDSP,2016,Jul,22
ISP,2016,Jul,6
KVSP,2016,Jul,42
LAC,2016,Jul,39
MCSP,2016,Jul,20
NKSP,2016,Jul,18
PBSP,2016,Jul,11
PVSP,2016,Jul,8
RJD,2016,Jul,16
SAC,2016,Jul,42
SATF,2016,Jul,10
SCC,2016,Jul,9
SOL,2016,Jul,14
SQ,2016,Jul,21
SVSP,2016,Jul,49
VSPW,2016,Jul,3
WSP,2016,Jul,23
ASP,2017,Jul,2
CAC,2017,Jul,4
CAL,2017,Jul,20
CCC,2017,Jul,9
CCI,2017,Jul,32
CCWF,2017,Jul,31
CEN,2017,Jul,12
CHCF,2017,Jul,23
CIM,2017,Jul,7
CIW,2017,Jul,12
CMC,2017,Jul,19
CMF,2017,Jul,9
COR,2017,Jul,41
CRC,2017,Jul,6
CTF,2017,Jul,1
CVSP,2017,Jul,2
DVI,2017,Jul,17
FSP,2017,Jul,8
HDSP,2017,Jul,18
ISP,2017,Jul,5
KVSP,2017,Jul,49
LAC,2017,Jul,48
MCSP,2017,Jul,20
NKSP,2017,Jul,11
PBSP,2017,Jul,3
PVSP,2017,Jul,6
RJD,2017,Jul,25
SAC,2017,Jul,54
SATF,2017,Jul,16
SCC,2017,Jul,1
SOL,2017,Jul,13
SQ,2017,Jul,12
SVSP,2017,Jul,35
VSPW,2017,Jul,4
WSP,2017,Jul,21
ASP,2018,Jul,2
CAC,2018,Jul,3
CAL,2018,Jul,22
CCC,2018,Jul,9
CCI,2018,Jul,31
CCWF,2018,Jul,29
CEN,2018,Jul,12
CHCF,2018,Jul,32
CIM,2018,Jul,8
CIW,2018,Jul,14
CMC,2018,Jul,6
CMF,2018,Jul,8
COR,2018,Jul,62
CRC,2018,Jul,8
CTF,2018,Jul,0
CVSP,2018,Jul,6
DVI,2018,Jul,15
FSP,2018,Jul,5
HDSP,2018,Jul,27
ISP,2018,Jul,11
KVSP,2018,Jul,78
LAC,2018,Jul,51
MCSP,2018,Jul,33
NKSP,2018,Jul,17
PBSP,2018,Jul,9
PVSP,2018,Jul,7
RJD,2018,Jul,25
SAC,2018,Jul,22
SATF,2018,Jul,25
SCC,2018,Jul,5
SOL,2018,Jul,15
SQ,2018,Jul,23
SVSP,2018,Jul,44
VSPW,2018,Jul,5
WSP,2018,Jul,35
ASP,2019,Jul,5
CAC,2019,Jul,4
CAL,2019,Jul,24
CCC,2019,Jul,19
CCI,2019,Jul,26
CCWF,2019,Jul,33
CEN,2019,Jul,10
CHCF,2019,Jul,20
CIM,2019,Jul,6
CIW,2019,Jul,11
CMC,2019,Jul,13
CMF,2019,Jul,18
COR,2019,Jul,52
CRC,2019,Jul,9
CTF,2019,Jul,6
CVSP,2019,Jul,8
DVI,2019,Jul,11
FSP,2019,Jul,17
HDSP,2019,Jul,26
ISP,2019,Jul,13
KVSP,2019,Jul,52
LAC,2019,Jul,63
MCSP,2019,Jul,21
NKSP,2019,Jul,33
PBSP,2019,Jul,15
PVSP,2019,Jul,13
RJD,2019,Jul,21
SAC,2019,Jul,69
SATF,2019,Jul,20
SCC,2019,Jul,20
SOL,2019,Jul,15
SQ,2019,Jul,10
SVSP,2019,Jul,54
VSPW,2019,Jul,2
WSP,2019,Jul,23
ASP,2020,Jul,2
CAC,2020,Jul,0
CAL,2020,Jul,5
CCC,2020,Jul,1
CCI,2020,Jul,27
CCWF,2020,Jul,19
CEN,2020,Jul,7
CHCF,2020,Jul,23
CIM,2020,Jul,1
CIW,2020,Jul,7
CMC,2020,Jul,11
CMF,2020,Jul,29
COR,2020,Jul,15
CRC,2020,Jul,1
CTF,2020,Jul,1
CVSP,2020,Jul,0
DVI,2020,Jul,2
FSP,2020,Jul,4
HDSP,2020,Jul,28
ISP,2020,Jul,4
KVSP,2020,Jul,36
LAC,2020,Jul,23
MCSP,2020,Jul,23
NKSP,2020,Jul,8
PBSP,2020,Jul,11
PVSP,2020,Jul,4
RJD,2020,Jul,18
SAC,2020,Jul,60
SATF,2020,Jul,14
SCC,2020,Jul,11
SOL,2020,Jul,11
SQ,2020,Jul,3
SVSP,2020,Jul,34
VSPW,2020,Jul,2
WSP,2020,Jul,8
ASP,2015,Aug,1
CAC,2015,Aug,1
CAL,2015,Aug,29
CCC,2015,Aug,7
CCI,2015,Aug,12
CCWF,2015,Aug,9
CEN,2015,Aug,12
CHCF,2015,Aug,26
CIM,2015,Aug,7
CIW,2015,Aug,9
CMC,2015,Aug,8
CMF,2015,Aug,26
COR,2015,Aug,14
CRC,2015,Aug,3
CTF,2015,Aug,4
CVSP,2015,Aug,1
DVI,2015,Aug,11
FSP,2015,Aug,7
HDSP,2015,Aug,28
ISP,2015,Aug,13
KVSP,2015,Aug,33
LAC,2015,Aug,44
MCSP,2015,Aug,22
NKSP,2015,Aug,19
PBSP,2015,Aug,5
PVSP,2015,Aug,6
RJD,2015,Aug,26
SAC,2015,Aug,46
SATF,2015,Aug,20
SCC,2015,Aug,4
SOL,2015,Aug,8
SQ,2015,Aug,16
SVSP,2015,Aug,41
VSPW,2015,Aug,2
WSP,2015,Aug,21
ASP,2016,Aug,1
CAC,2016,Aug,1
CAL,2016,Aug,22
CCC,2016,Aug,14
CCI,2016,Aug,21
CCWF,2016,Aug,20
CEN,2016,Aug,12
CHCF,2016,Aug,20
CIM,2016,Aug,7
CIW,2016,Aug,13
CMC,2016,Aug,11
CMF,2016,Aug,10
COR,2016,Aug,41
CRC,2016,Aug,4
CTF,2016,Aug,5
CVSP,2016,Aug,0
DVI,2016,Aug,3
FSP,2016,Aug,6
HDSP,2016,Aug,20
ISP,2016,Aug,9
KVSP,2016,Aug,42
LAC,2016,Aug,27
MCSP,2016,Aug,31
NKSP,2016,Aug,11
PBSP,2016,Aug,9
PVSP,2016,Aug,10
RJD,2016,Aug,25
SAC,2016,Aug,46
SATF,2016,Aug,26
SCC,2016,Aug,4
SOL,2016,Aug,11
SQ,2016,Aug,11
SVSP,2016,Aug,45
VSPW,2016,Aug,2
WSP,2016,Aug,20
ASP,2017,Aug,5
CAC,2017,Aug,7
CAL,2017,Aug,26
CCC,2017,Aug,8
CCI,2017,Aug,35
CCWF,2017,Aug,19
CEN,2017,Aug,11
CHCF,2017,Aug,21
CIM,2017,Aug,5
CIW,2017,Aug,14
CMC,2017,Aug,21
CMF,2017,Aug,14
COR,2017,Aug,49
CRC,2017,Aug,4
CTF,2017,Aug,5
CVSP,2017,Aug,3
DVI,2017,Aug,11
FSP,2017,Aug,5
HDSP,2017,Aug,22
ISP,2017,Aug,4
KVSP,2017,Aug,43
LAC,2017,Aug,35
MCSP,2017,Aug,37
NKSP,2017,Aug,16
PBSP,2017,Aug,6
PVSP,2017,Aug,8
RJD,2017,Aug,26
SAC,2017,Aug,53
SATF,2017,Aug,22
SCC,2017,Aug,8
SOL,2017,Aug,10
SQ,2017,Aug,18
SVSP,2017,Aug,37
VSPW,2017,Aug,3
WSP,2017,Aug,13
ASP,2018,Aug,8
CAC,2018,Aug,0
CAL,2018,Aug,18
CCC,2018,Aug,10
CCI,2018,Aug,43
CCWF,2018,Aug,12
CEN,2018,Aug,12
CHCF,2018,Aug,28
CIM,2018,Aug,2
CIW,2018,Aug,21
CMC,2018,Aug,17
CMF,2018,Aug,13
COR,2018,Aug,51
CRC,2018,Aug,5
CTF,2018,Aug,6
CVSP,2018,Aug,5
DVI,2018,Aug,11
FSP,2018,Aug,10
HDSP,2018,Aug,28
ISP,2018,Aug,10
KVSP,2018,Aug,71
LAC,2018,Aug,54
MCSP,2018,Aug,36
NKSP,2018,Aug,17
PBSP,2018,Aug,13
PVSP,2018,Aug,19
RJD,2018,Aug,22
SAC,2018,Aug,52
SATF,2018,Aug,19
SCC,2018,Aug,13
SOL,2018,Aug,9
SQ,2018,Aug,14
SVSP,2018,Aug,49
VSPW,2018,Aug,4
WSP,2018,Aug,18
ASP,2019,Aug,18
CAC,2019,Aug,5
CAL,2019,Aug,23
CCC,2019,Aug,44
CCI,2019,Aug,35
CCWF,2019,Aug,29
CEN,2019,Aug,8
CHCF,2019,Aug,22
CIM,2019,Aug,6
CIW,2019,Aug,10
CMC,2019,Aug,16
CMF,2019,Aug,13
COR,2019,Aug,48
CRC,2019,Aug,8
CTF,2019,Aug,3
CVSP,2019,Aug,2
DVI,2019,Aug,9
FSP,2019,Aug,15
HDSP,2019,Aug,37
ISP,2019,Aug,6
KVSP,2019,Aug,64
LAC,2019,Aug,44
MCSP,2019,Aug,22
NKSP,2019,Aug,22
PBSP,2019,Aug,17
PVSP,2019,Aug,17
RJD,2019,Aug,18
SAC,2019,Aug,62
SATF,2019,Aug,27
SCC,2019,Aug,18
SOL,2019,Aug,16
SQ,2019,Aug,22
SVSP,2019,Aug,43
VSPW,2019,Aug,2
WSP,2019,Aug,42
ASP,2020,Aug,2
CAC,2020,Aug,9
CAL,2020,Aug,12
CCC,2020,Aug,1
CCI,2020,Aug,25
CCWF,2020,Aug,22
CEN,2020,Aug,7
CHCF,2020,Aug,25
CIM,2020,Aug,2
CIW,2020,Aug,3
CMC,2020,Aug,5
CMF,2020,Aug,19
COR,2020,Aug,14
CRC,2020,Aug,4
CTF,2020,Aug,2
CVSP,2020,Aug,0
DVI,2020,Aug,2
FSP,2020,Aug,2
HDSP,2020,Aug,24
ISP,2020,Aug,9
KVSP,2020,Aug,26
LAC,2020,Aug,19
MCSP,2020,Aug,19
NKSP,2020,Aug,7
PBSP,2020,Aug,10
PVSP,2020,Aug,5
RJD,2020,Aug,14
SAC,2020,Aug,57
SATF,2020,Aug,20
SCC,2020,Aug,4
SOL,2020,Aug,4
SQ,2020,Aug,4
SVSP,2020,Aug,40
VSPW,2020,Aug,2
WSP,2020,Aug,5
ASP,2015,Sep,3
CAC,2015,Sep,7
CAL,2015,Sep,37
CCC,2015,Sep,1
CCI,2015,Sep,13
CCWF,2015,Sep,7
CEN,2015,Sep,13
CHCF,2015,Sep,17
CIM,2015,Sep,7
CIW,2015,Sep,23
CMC,2015,Sep,11
CMF,2015,Sep,17
COR,2015,Sep,27
CRC,2015,Sep,4
CTF,2015,Sep,2
CVSP,2015,Sep,2
DVI,2015,Sep,4
FSP,2015,Sep,7
HDSP,2015,Sep,22
ISP,2015,Sep,10
KVSP,2015,Sep,31
LAC,2015,Sep,37
MCSP,2015,Sep,23
NKSP,2015,Sep,31
PBSP,2015,Sep,6
PVSP,2015,Sep,8
RJD,2015,Sep,14
SAC,2015,Sep,48
SATF,2015,Sep,10
SCC,2015,Sep,3
SOL,2015,Sep,14
SQ,2015,Sep,6
SVSP,2015,Sep,34
VSPW,2015,Sep,1
WSP,2015,Sep,17
ASP,2016,Sep,0
CAC,2016,Sep,0
CAL,2016,Sep,18
CCC,2016,Sep,8
CCI,2016,Sep,20
CCWF,2016,Sep,19
CEN,2016,Sep,15
CHCF,2016,Sep,23
CIM,2016,Sep,11
CIW,2016,Sep,16
CMC,2016,Sep,23
CMF,2016,Sep,16
COR,2016,Sep,27
CRC,2016,Sep,5
CTF,2016,Sep,3
CVSP,2016,Sep,0
DVI,2016,Sep,5
FSP,2016,Sep,2
HDSP,2016,Sep,18
ISP,2016,Sep,7
KVSP,2016,Sep,41
LAC,2016,Sep,27
MCSP,2016,Sep,21
NKSP,2016,Sep,17
PBSP,2016,Sep,9
PVSP,2016,Sep,9
RJD,2016,Sep,11
SAC,2016,Sep,42
SATF,2016,Sep,10
SCC,2016,Sep,5
SOL,2016,Sep,4
SQ,2016,Sep,9
SVSP,2016,Sep,53
VSPW,2016,Sep,0
WSP,2016,Sep,17
ASP,2017,Sep,8
CAC,2017,Sep,4
CAL,2017,Sep,23
CCC,2017,Sep,12
CCI,2017,Sep,27
CCWF,2017,Sep,22
CEN,2017,Sep,5
CHCF,2017,Sep,19
CIM,2017,Sep,2
CIW,2017,Sep,6
CMC,2017,Sep,10
CMF,2017,Sep,15
COR,2017,Sep,35
CRC,2017,Sep,1
CTF,2017,Sep,0
CVSP,2017,Sep,0
DVI,2017,Sep,14
FSP,2017,Sep,4
HDSP,2017,Sep,20
ISP,2017,Sep,5
KVSP,2017,Sep,54
LAC,2017,Sep,42
MCSP,2017,Sep,40
NKSP,2017,Sep,10
PBSP,2017,Sep,10
PVSP,2017,Sep,10
RJD,2017,Sep,18
SAC,2017,Sep,39
SATF,2017,Sep,17
SCC,2017,Sep,4
SOL,2017,Sep,9
SQ,2017,Sep,10
SVSP,2017,Sep,35
VSPW,2017,Sep,5
WSP,2017,Sep,16
ASP,2018,Sep,8
CAC,2018,Sep,8
CAL,2018,Sep,19
CCC,2018,Sep,12
CCI,2018,Sep,33
CCWF,2018,Sep,54
CEN,2018,Sep,13
CHCF,2018,Sep,32
CIM,2018,Sep,5
CIW,2018,Sep,9
CMC,2018,Sep,6
CMF,2018,Sep,16
COR,2018,Sep,42
CRC,2018,Sep,9
CTF,2018,Sep,2
CVSP,2018,Sep,4
DVI,2018,Sep,10
FSP,2018,Sep,12
HDSP,2018,Sep,33
ISP,2018,Sep,7
KVSP,2018,Sep,63
LAC,2018,Sep,56
MCSP,2018,Sep,27
NKSP,2018,Sep,22
PBSP,2018,Sep,22
PVSP,2018,Sep,12
RJD,2018,Sep,21
SAC,2018,Sep,43
SATF,2018,Sep,24
SCC,2018,Sep,11
SOL,2018,Sep,16
SQ,2018,Sep,19
SVSP,2018,Sep,62
VSPW,2018,Sep,3
WSP,2018,Sep,16
ASP,2019,Sep,5
CAC,2019,Sep,1
CAL,2019,Sep,21
CCC,2019,Sep,11
CCI,2019,Sep,46
CCWF,2019,Sep,30
CEN,2019,Sep,10
CHCF,2019,Sep,27
CIM,2019,Sep,6
CIW,2019,Sep,12
CMC,2019,Sep,15
CMF,2019,Sep,23
COR,2019,Sep,50
CRC,2019,Sep,8
CTF,2019,Sep,7
CVSP,2019,Sep,4
DVI,2019,Sep,11
FSP,2019,Sep,15
HDSP,2019,Sep,36
ISP,2019,Sep,8
KVSP,2019,Sep,44
LAC,2019,Sep,47
MCSP,2019,Sep,23
NKSP,2019,Sep,21
PBSP,2019,Sep,10
PVSP,2019,Sep,23
RJD,2019,Sep,16
SAC,2019,Sep,62
SATF,2019,Sep,23
SCC,2019,Sep,9
SOL,2019,Sep,20
SQ,2019,Sep,22
SVSP,2019,Sep,57
VSPW,2019,Sep,1
WSP,2019,Sep,31
ASP,2020,Sep,3
CAC,2020,Sep,1
CAL,2020,Sep,11
CCC,2020,Sep,6
CCI,2020,Sep,22
CCWF,2020,Sep,17
CEN,2020,Sep,10
CHCF,2020,Sep,16
CIM,2020,Sep,1
CIW,2020,Sep,3
CMC,2020,Sep,7
CMF,2020,Sep,14
COR,2020,Sep,15
CRC,2020,Sep,5
CTF,2020,Sep,3
CVSP,2020,Sep,1
DVI,2020,Sep,6
FSP,2020,Sep,4
HDSP,2020,Sep,27
ISP,2020,Sep,9
KVSP,2020,Sep,25
LAC,2020,Sep,28
MCSP,2020,Sep,22
NKSP,2020,Sep,13
PBSP,2020,Sep,7
PVSP,2020,Sep,6
RJD,2020,Sep,16
SAC,2020,Sep,49
SATF,2020,Sep,7
SCC,2020,Sep,2
SOL,2020,Sep,11
SQ,2020,Sep,6
SVSP,2020,Sep,33
VSPW,2020,Sep,1
WSP,2020,Sep,7
ASP,2015,Oct,7
CAC,2015,Oct,1
CAL,2015,Oct,17
CCC,2015,Oct,9
CCI,2015,Oct,19
CCWF,2015,Oct,11
CEN,2015,Oct,11
CHCF,2015,Oct,22
CIM,2015,Oct,8
CIW,2015,Oct,15
CMC,2015,Oct,13
CMF,2015,Oct,12
COR,2015,Oct,39
CRC,2015,Oct,4
CTF,2015,Oct,6
CVSP,2015,Oct,0
DVI,2015,Oct,11
FSP,2015,Oct,8
HDSP,2015,Oct,17
ISP,2015,Oct,9
KVSP,2015,Oct,33
LAC,2015,Oct,34
MCSP,2015,Oct,16
NKSP,2015,Oct,19
PBSP,2015,Oct,7
PVSP,2015,Oct,7
RJD,2015,Oct,14
SAC,2015,Oct,62
SATF,2015,Oct,16
SCC,2015,Oct,5
SOL,2015,Oct,14
SQ,2015,Oct,10
SVSP,2015,Oct,41
VSPW,2015,Oct,3
WSP,2015,Oct,22
ASP,2016,Oct,5
CAC,2016,Oct,0
CAL,2016,Oct,17
CCC,2016,Oct,8
CCI,2016,Oct,22
CCWF,2016,Oct,13
CEN,2016,Oct,17
CHCF,2016,Oct,23
CIM,2016,Oct,5
CIW,2016,Oct,8
CMC,2016,Oct,24
CMF,2016,Oct,10
COR,2016,Oct,36
CRC,2016,Oct,2
CTF,2016,Oct,2
CVSP,2016,Oct,1
DVI,2016,Oct,5
FSP,2016,Oct,5
HDSP,2016,Oct,16
ISP,2016,Oct,6
KVSP,2016,Oct,40
LAC,2016,Oct,34
MCSP,2016,Oct,20
NKSP,2016,Oct,22
PBSP,2016,Oct,12
PVSP,2016,Oct,6
RJD,2016,Oct,25
SAC,2016,Oct,33
SATF,2016,Oct,17
SCC,2016,Oct,2
SOL,2016,Oct,12
SQ,2016,Oct,15
SVSP,2016,Oct,48
VSPW,2016,Oct,5
WSP,2016,Oct,19
ASP,2017,Oct,3
CAC,2017,Oct,6
CAL,2017,Oct,20
CCC,2017,Oct,7
CCI,2017,Oct,26
CCWF,2017,Oct,23
CEN,2017,Oct,11
CHCF,2017,Oct,31
CIM,2017,Oct,9
CIW,2017,Oct,3
CMC,2017,Oct,6
CMF,2017,Oct,17
COR,2017,Oct,43
CRC,2017,Oct,2
CTF,2017,Oct,0
CVSP,2017,Oct,0
DVI,2017,Oct,14
FSP,2017,Oct,3
HDSP,2017,Oct,31
ISP,2017,Oct,6
KVSP,2017,Oct,27
LAC,2017,Oct,44
MCSP,2017,Oct,26
NKSP,2017,Oct,18
PBSP,2017,Oct,19
PVSP,2017,Oct,7
RJD,2017,Oct,28
SAC,2017,Oct,33
SATF,2017,Oct,11
SCC,2017,Oct,7
SOL,2017,Oct,9
SQ,2017,Oct,9
SVSP,2017,Oct,36
VSPW,2017,Oct,4
WSP,2017,Oct,12
ASP,2018,Oct,7
CAC,2018,Oct,1
CAL,2018,Oct,14
CCC,2018,Oct,7
CCI,2018,Oct,61
CCWF,2018,Oct,42
CEN,2018,Oct,9
CHCF,2018,Oct,32
CIM,2018,Oct,5
CIW,2018,Oct,19
CMC,2018,Oct,10
CMF,2018,Oct,22
COR,2018,Oct,49
CRC,2018,Oct,8
CTF,2018,Oct,5
CVSP,2018,Oct,2
DVI,2018,Oct,10
FSP,2018,Oct,9
HDSP,2018,Oct,33
ISP,2018,Oct,3
KVSP,2018,Oct,67
LAC,2018,Oct,47
MCSP,2018,Oct,29
NKSP,2018,Oct,16
PBSP,2018,Oct,17
PVSP,2018,Oct,9
RJD,2018,Oct,19
SAC,2018,Oct,52
SATF,2018,Oct,18
SCC,2018,Oct,4
SOL,2018,Oct,9
SQ,2018,Oct,18
SVSP,2018,Oct,55
VSPW,2018,Oct,4
WSP,2018,Oct,28
ASP,2019,Oct,11
CAC,2019,Oct,5
CAL,2019,Oct,16
CCC,2019,Oct,16
CCI,2019,Oct,27
CCWF,2019,Oct,33
CEN,2019,Oct,17
CHCF,2019,Oct,23
CIM,2019,Oct,4
CIW,2019,Oct,6
CMC,2019,Oct,13
CMF,2019,Oct,26
COR,2019,Oct,41
CRC,2019,Oct,7
CTF,2019,Oct,4
CVSP,2019,Oct,6
DVI,2019,Oct,7
FSP,2019,Oct,7
HDSP,2019,Oct,34
ISP,2019,Oct,16
KVSP,2019,Oct,57
LAC,2019,Oct,48
MCSP,2019,Oct,19
NKSP,2019,Oct,35
PBSP,2019,Oct,10
PVSP,2019,Oct,17
RJD,2019,Oct,15
SAC,2019,Oct,72
SATF,2019,Oct,20
SCC,2019,Oct,10
SOL,2019,Oct,19
SQ,2019,Oct,18
SVSP,2019,Oct,30
VSPW,2019,Oct,2
WSP,2019,Oct,29
ASP,2020,Oct,1
CAC,2020,Oct,4
CAL,2020,Oct,14
CCC,2020,Oct,3
CCI,2020,Oct,27
CCWF,2020,Oct,17
CEN,2020,Oct,13
CHCF,2020,Oct,22
CIM,2020,Oct,6
CIW,2020,Oct,5
CMC,2020,Oct,8
CMF,2020,Oct,24
COR,2020,Oct,15
CRC,2020,Oct,3
CTF,2020,Oct,1
CVSP,2020,Oct,0
DVI,2020,Oct,5
FSP,2020,Oct,3
HDSP,2020,Oct,33
ISP,2020,Oct,7
KVSP,2020,Oct,33
LAC,2020,Oct,21
MCSP,2020,Oct,16
NKSP,2020,Oct,12
PBSP,2020,Oct,6
PVSP,2020,Oct,4
RJD,2020,Oct,18
SAC,2020,Oct,60
SATF,2020,Oct,17
SCC,2020,Oct,13
SOL,2020,Oct,7
SQ,2020,Oct,1
SVSP,2020,Oct,38
VSPW,2020,Oct,5
WSP,2020,Oct,12
ASP,2015,Nov,4
CAC,2015,Nov,0
CAL,2015,Nov,19
CCC,2015,Nov,9
CCI,2015,Nov,7
CCWF,2015,Nov,11
CEN,2015,Nov,7
CHCF,2015,Nov,25
CIM,2015,Nov,9
CIW,2015,Nov,14
CMC,2015,Nov,10
CMF,2015,Nov,3
COR,2015,Nov,34
CRC,2015,Nov,5
CTF,2015,Nov,2
CVSP,2015,Nov,0
DVI,2015,Nov,9
FSP,2015,Nov,1
HDSP,2015,Nov,23
ISP,2015,Nov,9
KVSP,2015,Nov,24
LAC,2015,Nov,43
MCSP,2015,Nov,25
NKSP,2015,Nov,17
PBSP,2015,Nov,8
PVSP,2015,Nov,10
RJD,2015,Nov,9
SAC,2015,Nov,33
SATF,2015,Nov,10
SCC,2015,Nov,5
SOL,2015,Nov,8
SQ,2015,Nov,12
SVSP,2015,Nov,40
