Institution,Year,Month,Use of Force
SCC,2015,Feb,15
SOL,2015,Feb,12
SQ,2015,Feb,7
SVSP,2015,Feb,24
VSPW,2015,Feb,5
WSP,2015,Feb,17
ASP,2016,Feb,3
CAC,2016,Feb,1
CAL,2016,Feb,7
CCC,2016,Feb,7
CCI,2016,Feb,9
CCWF,2016,Feb,17
CEN,2016,Feb,7
CHCF,2016,Feb,16
CIM,2016,Feb,8
CIW,2016,Feb,26
CMC,2016,Feb,7
CMF,2016,Feb,9
COR,2016,Feb,30
CRC,2016,Feb,6
CTF,2016,Feb,2
CVSP,2016,Feb,0
DVI,2016,Feb,5
FSP,2016,Feb,4
HDSP,2016,Feb,22
ISP,2016,Feb,7
KVSP,2016,Feb,25
LAC,2016,Feb,28
MCSP,2016,Feb,23
NKSP,2016,Feb,15
PBSP,2016,Feb,21
PVSP,2016,Feb,6
RJD,2016,Feb,21
SAC,2016,Feb,48
SATF,2016,Feb,11
SCC,2016,Feb,10
SOL,2016,Feb,9
SQ,2016,Feb,5
SVSP,2016,Feb,48
VSPW,2016,Feb,5
WSP,2016,Feb,26
ASP,2017,Feb,5
CAC,2017,Feb,0
CAL,2017,Feb,19
CCC,2017,Feb,9
CCI,2017,Feb,26
CCWF,2017,Feb,32
CEN,2017,Feb,13
CHCF,2017,Feb,23
CIM,2017,Feb,7
CIW,2017,Feb,16
CMC,2017,Feb,13
CMF,2017,Feb,15
COR,2017,Feb,35
CRC,2017,Feb,2
CTF,2017,Feb,3
CVSP,2017,Feb,0
DVI,2017,Feb,9
FSP,2017,Feb,7
HDSP,2017,Feb,22
ISP,2017,Feb,2
KVSP,2017,Feb,36
LAC,2017,Feb,44
MCSP,2017,Feb,23
NKSP,2017,Feb,15
PBSP,2017,Feb,8
PVSP,2017,Feb,7
RJD,2017,Feb,22
SAC,2017,Feb,34
SATF,2017,Feb,20
SCC,2017,Feb,6
SOL,2017,Feb,13
SQ,2017,Feb,13
SVSP,2017,Feb,33
VSPW,2017,Feb,1
WSP,2017,Feb,23
ASP,2018,Feb,4
CAC,2018,Feb,4
CAL,2018,Feb,17
CCC,2018,Feb,6
CCI,2018,Feb,33
CCWF,2018,Feb,30
CEN,2018,Feb,14
CHCF,2018,Feb,22
CIM,2018,Feb,4
CIW,2018,Feb,17
CMC,2018,Feb,11
CMF,2018,Feb,18
COR,2018,Feb,46
CRC,2018,Feb,11
CTF,2018,Feb,6
CVSP,2018,Feb,4
DVI,2018,Feb,12
FSP,2018,Feb,9
HDSP,2018,Feb,22
ISP,2018,Feb,8
KVSP,2018,Feb,42
LAC,2018,Feb,45
MCSP,2018,Feb,17
NKSP,2018,Feb,12
