Institution,Year,Month,Use of Force,Inmate Count
PBSP,2014,Feb,9,2717
SAC,2014,Feb,35,2210
SATF,2014,Feb,23,5550
SVSP,2014,Feb,31,3312
CAL,2009,Mar,15,4252
CEN,2009,Mar,11,4799
CMC,2009,Mar,14,6532
CMF,2009,Mar,10,2805
MCSP,2009,Mar,10,3817
PVSP,2009,Mar,23,5166
SATF,2009,Mar,11,7021
CCI,2009,Mar,28,5259
COR,2009,Mar,21,5505
HDSP,2009,Mar,39,4451
KVSP,2009,Mar,26,4798
PBSP,2009,Mar,20,3337
SAC,2009,Mar,40,2920
SVSP,2009,Mar,33,4037
CIM,2009,Mar,24,5835
DVI,2009,Mar,21,3879
LAC,2009,Mar,41,4819
NKSP,2009,Mar,29,5337
RJD,2009,Mar,46,4836
SQ,2009,Mar,18,5280
WSP,2009,Mar,27,5951
CCI,2010,Mar,30,5874
COR,2010,Mar,17,5515
HDSP,2010,Mar,39,4522
KVSP,2010,Mar,32,4816
PBSP,2010,Mar,12,3381
SAC,2010,Mar,31,2903
SVSP,2010,Mar,31,3769
CIM,2010,Mar,22,4885
DVI,2010,Mar,14,3774
LAC,2010,Mar,47,4546
NKSP,2010,Mar,29,5392
RJD,2010,Mar,36,4720
SQ,2010,Mar,18,4840
WSP,2010,Mar,32,5838
CAL,2010,Mar,18,4172
CEN,2010,Mar,12,4514
CMC,2010,Mar,6,6709
CMF,2010,Mar,11,2704
MCSP,2010,Mar,17,3817
PVSP,2010,Mar,21,4760
SATF,2010,Mar,14,6793
CAL,2011,Mar,23,4203
CCI,2011,Mar,22,5546
CEN,2011,Mar,10,4247
COR,2011,Mar,23,4948
HDSP,2011,Mar,20,4133
KVSP,2011,Mar,35,4637
MCSP,2011,Mar,13,3522
PBSP,2011,Mar,26,3182
SAC,2011,Mar,27,2771
SATF,2011,Mar,13,6067
SVSP,2011,Mar,53,3759
CIM,2011,Mar,18,5894
DVI,2011,Mar,19,3777
LAC,2011,Mar,36,4388
NKSP,2011,Mar,17,5206
RJD,2011,Mar,35,4428
SQ,2011,Mar,21,4993
WSP,2011,Mar,33,5627
CCI,2012,Mar,20,4728
COR,2012,Mar,25,4504
HDSP,2012,Mar,18,3786
KVSP,2012,Mar,34,4174
LAC,2012,Mar,36,3894
PBSP,2012,Mar,19,3091
SAC,2012,Mar,33,2786
SATF,2012,Mar,23,5770
SVSP,2012,Mar,48,3532
CCI,2013,Mar,14,4635
COR,2013,Mar,24,4498
HDSP,2013,Mar,18,3453
KVSP,2013,Mar,37,3723
LAC,2013,Mar,46,3763
PBSP,2013,Mar,27,2858
SAC,2013,Mar,32,2324
SATF,2013,Mar,19,5590
SVSP,2013,Mar,54,3575
CCI,2014,Mar,21,4359
COR,2014,Mar,32,4305
HDSP,2014,Mar,28,3390
KVSP,2014,Mar,39,3775
LAC,2014,Mar,30,3599
PBSP,2014,Mar,3,2754
SAC,2014,Mar,34,2189
SATF,2014,Mar,14,5576
SVSP,2014,Mar,43,3354
CAL,2009,Apr,23,4196
CEN,2009,Apr,22,4665
CMC,2009,Apr,19,6496
CMF,2009,Apr,16,2806
MCSP,2009,Apr,13,3812
PVSP,2009,Apr,17,4947
SATF,2009,Apr,14,7045
CCI,2009,Apr,21,5235
COR,2009,Apr,18,5525
HDSP,2009,Apr,27,4459
KVSP,2009,Apr,22,4823
PBSP,2009,Apr,9,3360
SAC,2009,Apr,29,2894
SVSP,2009,Apr,34,4220
CIM,2009,Apr,22,5868
DVI,2009,Apr,10,3815
LAC,2009,Apr,35,4525
NKSP,2009,Apr,23,5378
RJD,2009,Apr,39,4888
SQ,2009,Apr,15,5154
WSP,2009,Apr,38,5842
CCI,2010,Apr,15,5954
COR,2010,Apr,11,5321
HDSP,2010,Apr,33,4468
KVSP,2010,Apr,28,4811
PBSP,2010,Apr,17,3332
SAC,2010,Apr,41,2923
SVSP,2010,Apr,55,3780
CIM,2010,Apr,31,5009
DVI,2010,Apr,20,3863
LAC,2010,Apr,40,4595
NKSP,2010,Apr,24,5428
RJD,2010,Apr,40,4604
SQ,2010,Apr,21,4938
WSP,2010,Apr,38,5962
CAL,2010,Apr,13,4177
CEN,2010,Apr,13,4464
CMC,2010,Apr,7,6708
CMF,2010,Apr,8,2611
MCSP,2010,Apr,16,3714
PVSP,2010,Apr,16,4717
SATF,2010,Apr,21,6601
CAL,2011,Apr,18,4219
CCI,2011,Apr,28,5599
CEN,2011,Apr,9,4117
COR,2011,Apr,25,4923
